Group,Time,Target,Obs,RA,rmsRA,Dec,rmsDEC
1,2022-08-19T04:43:15Z,Jupiter VIII,G40,6.036453,0.126,1.018186,0.127
1,2022-08-19T04:46:22Z,Jupiter VIII,W88,6.036722,0.083,1.018743,0.083
