Group,Time,Target,Obs,RA,rmsRA,Dec,rmsDEC
1,2022-08-19T04:43:15Z,Jupiter VIII,G40,6.036453,0.126,1.018186,0.127
1,2022-08-19T04:46:22Z,Jupiter VIII,W88,6.036722,0.083,1.018743,0.083
2,2022-11-01T01:23:20Z,Jupiter VIII,G40,0.066099,0.099,-2.186364,0.097
2,2022-11-01T01:23:10Z,Jupiter VIII,W88,0.066559,0.105,-2.185765,0.116
3,2022-11-03T00:55:58Z,Jupiter VIII,G40,359.984525,0.062,-2.218921,0.057
3,2022-11-03T00:55:57Z,Jupiter VIII,W88,359.98497,0.084,-2.218261,0.116
