0.09244,2459089.671,9.62,0.08
0.96308,2459094.625,10.072,0.059
0.38762,2459111.64,9.628,0.069
0.38865,2459111.642,9.564,0.064
0.87767,2459160.609,9.625,0.081
0.24064,2459161.57,9.541,0.085
0.24447,2459161.58,9.584,0.065
0.25085,2459161.597,9.549,0.078
0.25629,2459161.611,9.614,0.082
0.25629,2459161.611,9.614,0.082
0.26295,2459161.629,9.628,0.061
0.26659,2459161.639,9.564,0.048
0.27207,2459161.653,9.56,0.076
0.27745,2459161.668,9.563,0.042
0.28526,2459161.688,9.618,0.044
0.29292,2459161.708,9.556,0.052
0.2983,2459161.723,9.57,0.058
0.30203,2459161.733,9.62,0.051
0.30488,2459161.74,9.603,0.056
0.92119,2459163.372,9.645,0.077
0.92627,2459163.386,9.616,0.066
0.93144,2459163.4,9.664,0.088
0.9366,2459163.413,9.729,0.111
0.94184,2459163.427,9.706,0.137
0.94712,2459163.441,9.805,0.072
0.95239,2459163.455,9.901,0.105
0.95752,2459163.469,9.988,0.098
0.94948,2459171.393,9.868,0.131
0.95481,2459171.407,9.836,0.115
0.95992,2459171.42,10.05,0.1
0.96517,2459171.434,10.234,0.12
0.97074,2459171.449,10.415,0.088
0.97566,2459171.462,10.568,0.071
0.98085,2459171.476,10.99,0.087
0.98647,2459171.49,11.476,0.063
0.01004,2459171.553,12.3,0.091
0.04129,2459171.636,10.154,0.084
0.32953,2459172.399,9.628,0.125
0.34525,2459172.441,9.536,0.097
0.35837,2459172.475,9.63,0.059
0.44359,2459172.701,9.636,0.056
0.70327,2459173.389,9.577,0.101
0.71376,2459173.417,9.559,0.082
0.71905,2459173.431,9.594,0.06
0.72458,2459173.445,9.645,0.113
0.72953,2459173.458,9.618,0.103
0.73509,2459173.473,9.636,0.075
0.0072,2459240.404,12.329,0.085
0.01206,2459240.417,12.148,0.088
0.01727,2459240.43,11.462,0.113
0.02298,2459240.446,10.967,0.082
0.02661,2459240.455,10.77,0.082
0.03342,2459240.473,10.37,0.073
0.03855,2459240.487,10.268,0.08
0.49883,2459244.354,9.818,0.108
0.50406,2459244.368,9.798,0.135
0.5093,2459244.382,9.787,0.057
0.51493,2459244.397,9.709,0.123
0.51978,2459244.41,9.704,0.09
0.54861,2459244.486,9.684,0.076
0.5552,2459244.504,9.717,0.077
0.5552,2459244.504,9.717,0.077
0.91455,2459245.455,9.607,0.079
0.92231,2459245.476,9.615,0.061
0.93029,2459245.497,9.617,0.075
0,2459248.33,12.457,0.119
0.00531,2459248.344,12.41,0.111
0.01079,2459248.358,12.375,0.075
0.01604,2459248.372,11.779,0.06
0.02098,2459248.385,11.112,0.155
0.02616,2459248.399,10.835,0.118
0.03146,2459248.413,10.451,0.098
0.03674,2459248.427,10.27,0.089
0.03674,2459248.427,10.27,0.089
0.04185,2459248.441,10.18,0.085
0.04727,2459248.455,10.045,0.124
0.93255,2459253.448,9.689,0.108
0.93659,2459253.459,9.71,0.096
0.94042,2459253.469,9.638,0.098
0.94583,2459253.483,9.837,0.099
0.95892,2459253.518,10.021,0.085
0.29587,2459254.41,9.644,0.085
0.30355,2459254.431,9.591,0.103
0.31159,2459254.452,9.681,0.099
0.31801,2459254.469,9.546,0.061
0.32463,2459254.486,9.659,0.073
0.0443,2459256.392,9.957,0.068
0.05089,2459256.41,9.84,0.099
0.05615,2459256.424,9.718,0.108
0.0614,2459256.438,9.772,0.084
0.06665,2459256.452,9.652,0.044
0.07193,2459256.466,9.726,0.068
0.07721,2459256.48,9.637,0.077
0.43241,2459257.42,9.533,0.06
0.43786,2459257.435,9.663,0.078
0.44307,2459257.449,9.664,0.083
0.44824,2459257.462,9.625,0.078
0.45338,2459257.476,9.637,0.089
0.53759,2459260.347,9.695,0.091
0.54277,2459260.361,9.488,0.07
0.54814,2459260.375,9.711,0.087
0.55363,2459260.39,9.543,0.1
0.55862,2459260.403,9.651,0.091
