Star,IM,Max,SNR,X,Y,Sky,Air,B-V,V-mag,estimate,active
143_17,-6.252,1242,58,865.631,1428.57,383,1.147,0.494,14.33,20.582,TRUE
143_18,-6.247,1233,62,849.689,1191.468,386,1.147,0.495,14.346,20.593,TRUE
143_19,-6.464,1112,72,834.72,1434.681,379,1.147,0.917,14.316,20.78,TRUE
143_2,-6.249,1201,58,1237.678,1256.434,390,1.148,0.484,14.354,20.603,TRUE
143_3,-6.229,1140,42,1233.711,1207.947,389,1.148,0.517,14.393,20.622,TRUE
143_4,-6.223,1200,55,1222.548,1438.656,378,1.147,1.972,14.321,20.544,TRUE
143_5,-6.366,1200,32,1213.968,1161.292,391,1.148,0.497,14.315,20.681,TRUE
143_6,-6.381,1131,47,1186.71,1031.096,384,1.149,0.732,14.361,20.742,TRUE
143_7,-6.409,1161,27,1132.757,1193.458,400,1.148,1.449,14.336,20.745,TRUE
143_8,-6.317,1126,50,1130.835,962.723,385,1.149,1.552,14.385,20.702,TRUE
143_9,-6.419,1164,48,1121.949,1060.243,393,1.148,0.463,14.319,20.738,TRUE
144,-6.247,1052,59,1328.453,1350.77,382,1.148,0.616,14.439,20.686,TRUE
144_1,-6.106,962,65,1309.283,1131.426,387,1.148,1.7,14.452,20.558,TRUE
144_10,-6.215,1099,62,853.241,1276.504,385,1.147,0.489,14.417,20.632,TRUE
144_11,-6.213,1025,52,834.345,1260.966,388,1.147,0.876,14.416,20.629,TRUE
144_2,-6.152,1051,54,1266.508,1181.61,385,1.148,1.671,14.461,20.613,TRUE
144_3,-6.243,1002,48,1201.211,1079.041,390,1.148,0.592,14.401,20.644,TRUE
144_4,-6.292,1179,28,1169.772,1151.527,399,1.148,0.595,14.489,20.781,TRUE
144_5,-6.45,1101,51,1118.84,1070.723,395,1.148,0.534,14.421,20.871,TRUE
144_6,-6.301,1078,47,956.835,1233.161,397,1.147,0.53,14.416,20.717,TRUE
144_7,-6.038,1059,33,928.983,1165.388,391,1.148,0.968,14.441,20.479,TRUE
144_8,-6.047,1112,36,867.55,1149.125,396,1.148,0.525,14.47,20.517,TRUE
144_9,-6.084,1129,42,858.751,1144.249,391,1.148,1.671,14.473,20.557,TRUE
145,-6.084,1046,50,1327.177,1422.6,380,1.147,0.689,14.508,20.592,TRUE
145_1,-6.391,1075,62,1271.981,1303.348,386,1.148,0.497,14.501,20.892,TRUE
145_10,-6.533,943,40,1077.001,1025.27,385,1.148,0.649,14.58,21.113,TRUE
145_11,-6.013,1072,36,1069.497,1277.77,395,1.147,0.55,14.593,20.606,TRUE
145_12,-6.359,1050,24,1070.251,1082.307,387,1.148,0.597,14.588,20.947,TRUE
145_13,-6.084,1014,53,975.575,1349.689,386,1.147,0.592,14.519,20.603,TRUE
145_14,-6.008,1032,45,930.526,1186.668,395,1.148,0.495,14.539,20.547,TRUE
145_15,-6.023,984,45,928.981,952.025,392,1.148,1.654,14.542,20.565,TRUE
145_16,-6.005,1012,48,924.179,1058.918,391,1.148,0.596,14.587,20.592,TRUE
145_17,-6.15,998,51,900.449,1230.945,386,1.147,0.842,14.525,20.675,TRUE
145_18,-6.009,990,39,846.182,1130.092,384,1.148,0.496,14.589,20.598,TRUE
145_19,-6.102,988,49,815.414,1326.909,383,1.147,0.483,14.541,20.643,TRUE
145_2,-6.063,1019,60,1243.993,1396.642,382,1.147,0.483,14.505,20.568,TRUE
145_20,-6.036,1074,51,813.617,1148.675,387,1.148,0.527,14.537,20.573,TRUE
145_3,-6.18,912,54,1244.946,1078.362,390,1.148,0.698,14.569,20.749,TRUE
145_4,-6.167,1026,62,1226.467,1021.081,387,1.149,0.522,14.586,20.753,TRUE
145_5,-6.548,1403,46,1191.505,1208.977,401,1.148,1.574,14.59,21.138,TRUE
145_6,-6.029,1013,42,1144.421,1356.726,387,1.147,0.506,14.571,20.6,TRUE
145_7,-6.844,1628,28,1132.683,1245.485,368,1.148,0.591,14.587,21.431,TRUE
145_8,-6.248,988,51,1083.881,1338.836,388,1.147,2.067,14.508,20.756,TRUE
145_9,-6.151,969,34,1077.44,1424.232,380,1.147,0.618,14.563,20.714,TRUE
146,-6.108,955,58,1313.795,1126.314,384,1.148,0.525,14.64,20.748,TRUE
146_1,-5.891,910,51,1301.569,1457.149,381,1.147,0.93,14.639,20.53,TRUE
146_10,-5.905,962,47,959.178,1454.08,383,1.147,0.923,14.633,20.538,TRUE
146_11,-6.134,945,50,936.46,995.618,392,1.148,0.973,14.612,20.746,TRUE
146_12,-6.083,948,49,926.057,1140.262,394,1.148,0.527,14.615,20.698,TRUE
146_13,-6.055,911,42,855.06,1381.071,383,1.147,0.908,14.606,20.661,TRUE
146_2,-6.262,964,61,1225.544,1290.321,388,1.148,0.76,14.636,20.898,TRUE
146_3,-7.403,2653,132,1219.148,1291.576,389,1.148,0.531,14.625,22.028,TRUE
146_4,-5.97,933,43,1219.571,1080.198,390,1.148,0.652,14.657,20.627,TRUE
146_5,-6.035,987,48,1072.531,1307.961,394,1.147,0.542,14.606,20.641,TRUE
146_6,-5.937,977,41,1062.602,1432.973,383,1.147,0.597,14.696,20.633,TRUE
146_7,-6.39,958,20,1031.092,1258.685,378,1.147,0.604,14.637,21.027,TRUE
146_8,-7.333,3234,53,1009.186,1129.025,391,1.148,0.632,14.612,21.945,TRUE
146_9,-6.235,1043,48,961.673,1259.047,398,1.147,0.549,14.684,20.919,TRUE
147,-5.788,913,36,1158.703,1037.869,391,1.148,0.651,14.731,20.519,TRUE
147_1,-6.063,921,49,1003.217,1405.532,386,1.147,0.717,14.792,20.855,TRUE
147_2,-5.766,866,34,907.258,1167.596,391,1.148,1.968,14.705,20.471,TRUE
147_3,-5.82,859,44,903.428,1046.64,393,1.148,0.868,14.797,20.617,TRUE
147_4,-5.826,845,44,812.271,1179.861,385,1.147,1.339,14.701,20.527,TRUE
147_5,-5.86,892,44,806.094,1039.952,384,1.148,0.967,14.707,20.567,TRUE
148,-5.616,779,36,1328.13,1441.284,382,1.147,0.588,14.892,20.508,TRUE
148_1,-6.043,808,37,1228.271,1172.003,394,1.148,0.705,14.896,20.939,TRUE
148_2,-5.935,832,34,1203.507,1211.391,390,1.148,0.632,14.831,20.766,TRUE
148_3,-7.014,2516,51,1168.339,1231.179,392,1.148,0.538,14.884,21.898,TRUE
148_4,-6.004,892,27,1097.846,1040.763,391,1.148,0.574,14.811,20.815,TRUE
148_5,-7.554,2180,125,1071.62,1395.472,388,1.147,0.678,14.875,22.429,TRUE
148_6,-5.821,883,40,996.491,1049.166,393,1.148,0.725,14.89,20.711,TRUE
148_7,-5.909,845,40,958.908,1311.356,390,1.147,0.57,14.881,20.79,TRUE
148_8,-6.066,1263,32,937.137,1286.408,395,1.147,0.611,14.878,20.944,TRUE
149,-6.44,3676,62,1144.164,1401.559,387,1.147,0.774,14.975,21.415,TRUE
149_1,-6.356,998,39,1115.768,1058.01,392,1.148,0.948,14.965,21.321,TRUE
149_2,-6.31,1837,37,987.636,1150.274,402,1.148,0.606,14.978,21.288,TRUE
149_3,-5.545,785,24,970.143,1117.221,396,1.148,1.663,14.993,20.538,TRUE
149_4,-5.553,794,28,872.132,1270.357,386,1.147,0.897,14.969,20.522,TRUE
150,-5.477,762,31,1327.041,1325.363,382,1.148,1.701,15.061,20.538,TRUE
150_1,-5.757,797,46,1321.624,1303.424,381,1.148,0.607,15.014,20.771,TRUE
150_2,-5.612,786,32,1178.21,1386.766,380,1.147,0.86,15.027,20.639,TRUE
150_3,-5.566,819,32,1089.101,1379.868,389,1.147,0.636,15.019,20.585,TRUE
150_4,-5.528,815,21,982.176,1072.223,398,1.148,0.631,15.019,20.547,TRUE
150_5,-5.68,787,38,939.468,1310.029,387,1.147,1.567,15.056,20.736,TRUE
151,-5.532,770,25,1171.85,1347.276,384,1.147,0.635,15.108,20.64,TRUE
151_1,-5.788,707,33,919.646,1418.824,381,1.147,1.292,15.172,20.96,TRUE
151_2,-5.638,766,36,830.562,1323.93,380,1.147,0.811,15.14,20.778,TRUE
152,-5.851,746,37,1247.597,1107.237,388,1.148,0.749,15.272,21.123,TRUE
152_1,-5.41,713,26,1222.242,1028.733,388,1.149,0.827,15.247,20.657,TRUE
152_2,-5.476,772,26,1219.945,1121.29,389,1.148,1.542,15.231,20.707,TRUE
152_3,-5.415,685,25,1152.88,1338.924,386,1.147,0.911,15.24,20.655,TRUE
152_4,-5.289,699,29,1119.08,1388.371,387,1.147,0.695,15.206,20.495,TRUE
152_5,-5.403,687,20,985.696,1342.512,383,1.147,0.84,15.228,20.631,TRUE
152_6,-5.654,732,33,939.076,1303.775,389,1.147,0.672,15.219,20.873,TRUE
152_7,-5.199,752,24,820.827,1251.476,386,1.147,0.954,15.288,20.487,TRUE
153,-5.363,680,34,1309.661,1430.268,378,1.147,0.97,15.382,20.745,TRUE
153_1,-5.202,666,24,1252.575,1022.87,389,1.149,0.698,15.36,20.562,TRUE
153_2,-5.189,670,27,1021.757,1391.64,383,1.147,0.877,15.382,20.571,TRUE
154,-5.415,711,28,976.664,1383.485,388,1.147,0.841,15.404,20.819,TRUE
156,-6.905,1826,96,1313.765,1093.867,385,1.149,1.283,15.638,22.543,TRUE
