Star,IM,Max,SNR,X,Y,Sky,Air,B-V,I-mag,estimate,active
121_2,-7.649,3135,86,1066.499,1096.697,252,1.153,0.371,11.627,19.276,TRUE
121_3,-8.339,4444,195,905.979,1378.507,227,1.151,0.94,11.104,19.443,TRUE
122,-8.21,4838,184,1102.726,1073.961,226,1.153,0.35,11.76,19.97,TRUE
122_1,-7.773,2482,25,1069.501,1172.034,263,1.152,0.365,11.814,19.587,TRUE
122_2,-7.665,3018,105,946.603,1100.608,221,1.152,0.446,11.661,19.326,TRUE
122_3,-7.64,3325,158,826.7,1062.048,214,1.152,0.434,11.667,19.307,TRUE
123,-7.41,2624,137,1318.838,1059.289,220,1.153,0.328,11.946,19.356,TRUE
123_1,-7.657,2595,158,1281.754,1052.624,218,1.153,0.312,11.948,19.605,TRUE
123_2,-7.431,2601,126,1276.655,1365.759,219,1.152,0.364,11.912,19.343,TRUE
123_3,-7.59,2876,62,1146.958,1152.104,229,1.153,0.377,11.814,19.404,TRUE
123_4,-7.686,2201,49,1111.554,1203.141,260,1.152,0.432,11.797,19.483,TRUE
123_5,-7.533,2871,142,1090.281,992.483,219,1.153,0.407,11.829,19.362,TRUE
123_6,-7.571,2960,71,1084.434,1043.341,221,1.153,0.369,11.808,19.379,TRUE
123_7,-7.668,2667,123,879.329,1131.474,212,1.152,0.456,11.682,19.35,TRUE
124,-7.439,2858,22,1064.409,1194.237,264,1.152,0.445,11.897,19.336,TRUE
124_1,-7.399,2379,124,1032.943,949.232,220,1.153,0.334,11.945,19.344,TRUE
125,-7.337,2473,112,1210.895,1256.617,229,1.152,0.393,11.984,19.321,TRUE
125_1,-7.188,2211,76,1158.873,1178.892,230,1.153,0.34,12.178,19.366,TRUE
125_2,-8.01,2513,30,1064.023,1177.037,239,1.152,0.458,11.809,19.819,TRUE
125_3,-7.267,2034,33,1013.919,1212.255,243,1.152,0.324,12.115,19.382,TRUE
125_4,-7.29,2337,117,981.576,948.846,221,1.153,0.404,12.048,19.338,TRUE
125_5,-7.238,2362,113,908.549,982.77,221,1.153,0.34,12.087,19.325,TRUE
125_6,-7.454,2744,144,808.157,1015.36,216,1.153,0.502,11.86,19.314,TRUE
126,-7.235,2117,117,1268.439,1352.845,218,1.152,0.388,12.122,19.357,TRUE
126_1,-7.354,2446,76,1172.912,1224.368,224,1.152,0.408,12.067,19.421,TRUE
126_2,-7.23,2150,129,1139.211,1407.299,215,1.152,0.422,12.127,19.357,TRUE
126_3,-7.287,2127,71,1136.838,1185.189,227,1.152,0.395,12.12,19.407,TRUE
126_4,-7.37,1875,63,1129.024,1145.742,234,1.153,0.402,12.156,19.526,TRUE
126_5,-7.274,2118,65,1121.099,1148.468,241,1.153,0.395,12.104,19.378,TRUE
126_6,-7.527,2331,91,1094.717,1107.054,240,1.153,0.345,12.132,19.659,TRUE
126_7,-7.9,2088,99,1089.941,1130.282,232,1.153,0.351,12.121,20.021,TRUE
126_8,-7.308,2368,43,1069.147,1107.63,231,1.153,0.418,12.142,19.45,TRUE
126_9,-7.253,1938,108,943.795,953.446,217,1.153,0.352,12.103,19.356,TRUE
127,-7.648,1957,145,1235.539,1197.378,225,1.153,0.395,12.212,19.86,TRUE
127_1,-7.018,1823,77,1184.818,1143.897,227,1.153,0.305,12.316,19.334,TRUE
127_2,-7.479,2126,75,1118.929,1275.842,227,1.152,0.509,11.989,19.468,TRUE
127_3,-7.134,2155,35,1002.166,1112.395,236,1.153,0.412,12.242,19.376,TRUE
127_4,-7.493,2326,137,935.517,1025.77,217,1.153,0.373,12.287,19.78,TRUE
127_5,-7.24,1703,135,857.724,988.654,218,1.153,0.363,12.222,19.462,TRUE
128,-7.483,1873,122,1240.255,1199.318,223,1.153,0.398,12.248,19.731,TRUE
128_1,-7.095,1682,64,1199.173,1169.838,230,1.153,0.297,12.482,19.577,TRUE
128_10,-6.987,1722,93,1016.32,1300.594,216,1.152,0.379,12.335,19.322,TRUE
128_11,-7.179,1836,55,1015.712,1106.706,226,1.153,0.443,12.289,19.468,TRUE
128_12,-7.402,1807,45,1015.124,1150.848,222,1.152,0.383,12.36,19.762,TRUE
128_13,-7.032,1948,68,982.217,1319.335,221,1.152,0.377,12.356,19.388,TRUE
128_14,-6.972,1742,100,956.873,1020.083,215,1.153,0.399,12.357,19.329,TRUE
128_15,-7.771,2876,158,937.48,1080.45,224,1.153,0.886,11.803,19.574,TRUE
128_2,-7.082,1626,78,1165.558,1205.137,231,1.152,0.362,12.418,19.5,TRUE
128_3,-7.097,1512,78,1129.512,1273.505,222,1.152,0.416,12.296,19.393,TRUE
128_4,-7.563,1645,135,1127.17,953.335,220,1.153,0.374,12.353,19.916,TRUE
128_5,-7.199,2016,36,1097.743,1201.346,229,1.152,0.406,12.268,19.467,TRUE
128_6,-7.127,1687,103,1089.372,1322.65,217,1.152,0.338,12.409,19.536,TRUE
128_7,-7.13,1799,61,1077.133,1049.618,224,1.153,0.304,12.389,19.519,TRUE
128_8,-7.097,1872,21,1070.347,1146.617,214,1.152,0.385,12.372,19.469,TRUE
128_9,-7.209,1829,23,1058.305,1115.825,243,1.153,0.387,12.292,19.501,TRUE
129,-6.929,1536,93,1282.238,1265.149,216,1.152,0.385,12.434,19.363,TRUE
129_1,-6.935,1694,94,1135.836,1332.641,221,1.152,0.391,12.434,19.369,TRUE
129_10,-7.187,1772,72,982.149,1292.305,225,1.152,0.408,12.391,19.578,TRUE
129_11,-6.994,1763,82,969.487,1166.698,223,1.152,0.4,12.36,19.354,TRUE
129_12,-7.041,1658,85,967.216,1311.998,217,1.152,0.387,12.409,19.45,TRUE
129_13,-6.995,1487,64,963.494,1237.362,218,1.152,0.413,12.408,19.403,TRUE
129_14,-6.825,1480,81,891.155,1414.851,212,1.151,0.361,12.529,19.354,TRUE
129_15,-8.011,3898,197,817.069,1076.442,219,1.152,1.429,11.424,19.435,TRUE
129_2,-7.082,1474,36,1131.038,1114.245,249,1.153,0.417,12.41,19.492,TRUE
129_3,-7.237,1973,129,1126.222,1453.423,212,1.151,0.7,12.152,19.389,TRUE
129_4,-6.841,1663,51,1081.351,1090.851,235,1.153,0.408,12.447,19.288,TRUE
129_5,-7.023,1857,76,1053.26,1045.15,223,1.153,0.435,12.362,19.385,TRUE
129_6,-7.016,1651,97,1048.232,1347.937,217,1.152,0.469,12.328,19.344,TRUE
129_7,-6.858,1659,35,1042.216,1250.437,226,1.152,0.367,12.489,19.347,TRUE
129_8,-7.004,1599,34,1040.016,1096.151,236,1.153,0.45,12.386,19.39,TRUE
129_9,-6.82,1458,26,996.049,1184.603,257,1.152,0.323,12.519,19.339,TRUE
130,-6.654,1449,69,1224.842,1070.864,220,1.153,0.306,12.721,19.375,TRUE
130_1,-7.651,2126,88,1117.74,1271.603,228,1.152,0.428,12.511,20.162,TRUE
130_2,-6.965,1418,52,1019.51,1096.429,228,1.153,0.467,12.463,19.428,TRUE
130_3,-6.948,1692,40,991.082,1191.211,220,1.152,0.388,12.519,19.467,TRUE
130_4,-6.808,1560,97,959.839,1339.829,218,1.152,0.42,12.523,19.331,TRUE
130_5,-6.785,1564,70,909.192,1085.451,216,1.152,0.387,12.545,19.33,TRUE
130_6,-7.829,3632,143,898.192,1076.672,223,1.152,1.545,11.452,19.281,TRUE
130_7,-6.788,1564,80,835.556,1016.741,217,1.153,0.399,12.527,19.315,TRUE
130_8,-8.052,4528,204,809.373,1131.869,219,1.152,1.722,11.208,19.26,TRUE
131,-6.767,1339,88,1261.966,1171.427,216,1.153,0.439,12.63,19.397,TRUE
131_1,-6.68,1423,93,1188.331,1341.488,217,1.152,0.379,12.683,19.363,TRUE
131_2,-6.848,1567,59,1172.472,1232.528,225,1.152,0.391,12.647,19.495,TRUE
131_3,-6.883,1354,44,1097.342,1110.601,240,1.153,0.38,12.696,19.579,TRUE
131_4,-6.949,1351,51,995.381,1117.511,224,1.152,0.403,12.632,19.581,TRUE
131_5,-6.889,1425,62,971.061,1078.337,227,1.153,0.479,12.52,19.409,TRUE
131_6,-6.906,1501,51,959.333,1086.157,224,1.153,0.489,12.483,19.389,TRUE
131_7,-6.78,1334,40,955.034,1100.002,218,1.152,0.402,12.654,19.434,TRUE
132,-6.768,1373,79,1218.098,1292.653,217,1.152,0.498,12.701,19.469,TRUE
132_1,-7.453,3814,126,1214.531,1235.528,224,1.152,0.411,12.703,20.156,TRUE
132_10,-6.51,1259,77,969.487,1414.781,215,1.151,0.374,12.792,19.302,TRUE
132_11,-7.328,2643,104,942.807,1081.277,224,1.153,0.439,12.695,20.023,TRUE
132_12,-6.577,1200,74,888.086,1188.21,219,1.152,0.36,12.758,19.335,TRUE
132_13,-8.435,6423,242,873.537,1121.919,218,1.152,2.129,10.831,19.266,TRUE
132_2,-7.764,3485,165,1171.887,981.916,218,1.153,1.564,11.573,19.337,TRUE
132_3,-6.533,1396,22,1092.92,1118.809,254,1.153,0.395,12.724,19.257,TRUE
132_4,-6.895,1290,47,1078.28,1064.756,222,1.153,0.396,12.755,19.65,TRUE
132_5,-8.41,5192,130,1073.151,1119.893,236,1.153,0.376,12.8,21.21,TRUE
132_6,-7.14,1330,86,1063.453,1074.874,232,1.153,0.406,12.646,19.786,TRUE
132_7,-8.221,4592,212,1041.089,1273.367,223,1.152,0.422,12.693,20.914,TRUE
132_8,-6.473,1282,28,993.724,1227.676,233,1.152,0.34,12.816,19.289,TRUE
132_9,-6.955,1354,37,992.044,1155.069,218,1.152,0.427,12.688,19.643,TRUE
133,-6.545,1233,33,1160.295,1214.897,228,1.152,0.364,12.835,19.38,TRUE
133_1,-6.562,1353,55,1117.592,1170.452,234,1.152,0.444,12.839,19.401,TRUE
133_2,-7.026,1333,87,1090.302,1419.02,217,1.152,0.516,12.558,19.584,TRUE
133_3,-6.762,930,31,1012.857,1244.075,218,1.152,0.404,12.895,19.657,TRUE
133_4,-9.57,16783,378,992.669,1093.543,230,1.153,0.754,12.429,21.999,TRUE
133_5,-6.542,1169,67,862.551,1128.197,217,1.152,0.358,12.903,19.445,TRUE
134,-7.238,2061,122,1273.103,1067.643,218,1.153,1.297,12.142,19.38,TRUE
134_1,-7.331,2374,100,1244.074,1158.405,225,1.153,1.417,11.952,19.283,TRUE
134_2,-7.407,2565,87,1161.036,1192.142,228,1.152,1.49,11.904,19.311,TRUE
134_3,-6.885,1280,24,1116.734,1259.342,235,1.152,0.416,12.873,19.758,TRUE
134_4,-6.374,1020,69,1111.571,1344.931,219,1.152,0.416,12.954,19.328,TRUE
134_5,-7.209,1280,35,1113.646,1258.595,231,1.152,0.381,12.932,20.141,TRUE
134_6,-6.449,1220,62,1074.704,1301.145,219,1.152,0.391,12.932,19.381,TRUE
134_7,-6.566,1171,76,1035.442,1318.929,214,1.152,0.395,12.904,19.47,TRUE
134_8,-6.64,1260,67,1030.213,1373.303,218,1.152,0.499,12.812,19.452,TRUE
135,-7.476,2814,101,1186.585,1073.776,221,1.153,1.718,11.807,19.283,TRUE
135_1,-6.223,993,37,1170.086,1053.288,222,1.153,0.331,13.109,19.332,TRUE
135_2,-6.462,986,24,1065.2,1246.439,230,1.152,0.456,13.046,19.508,TRUE
135_3,-6.6,1127,30,1027.785,1107.024,236,1.153,0.416,12.973,19.573,TRUE
135_4,-6.826,1184,49,1021.864,1106.259,229,1.153,0.398,13.034,19.86,TRUE
135_5,-6.762,1083,39,1006.233,1217.754,220,1.152,0.393,12.901,19.663,TRUE
135_6,-6.372,1119,49,986.387,1263.931,217,1.152,0.429,12.971,19.343,TRUE
135_7,-6.552,1009,45,979.072,1237.682,230,1.152,0.429,12.866,19.418,TRUE
135_8,-7.211,2087,98,881.163,1023.582,217,1.153,1.436,12.073,19.284,TRUE
136,-7.947,4184,192,1312.692,1094.797,219,1.153,2.028,11.369,19.316,TRUE
136_1,-6.356,1025,58,1253.995,1268.738,219,1.152,0.439,13.083,19.439,TRUE
136_10,-7.499,2435,123,874.514,1166.524,217,1.152,1.58,11.881,19.38,TRUE
136_11,-6.232,1003,51,873.777,1045.936,218,1.153,0.433,13.154,19.386,TRUE
136_12,-6.204,1014,46,843.118,1005.389,216,1.153,0.429,13.117,19.321,TRUE
136_2,-6.304,909,22,1143.571,1110.367,225,1.153,0.392,13.223,19.527,TRUE
136_3,-6.377,1036,26,1141.868,1167.668,222,1.153,0.41,13.122,19.499,TRUE
136_4,-6.62,1172,28,1121.106,1106.812,247,1.153,0.626,12.868,19.488,TRUE
136_5,-6.912,1092,21,1066.562,1155.986,232,1.152,0.52,12.966,19.878,TRUE
136_6,-7.797,2852,89,1060.29,1155.612,246,1.152,0.41,13.189,20.986,TRUE
136_7,-6.329,962,56,1009.746,1296.36,218,1.152,0.407,13.15,19.479,TRUE
136_8,-6.506,995,21,1002.827,1191.375,240,1.152,0.451,13.078,19.584,TRUE
136_9,-6.677,1207,52,949.436,1276.24,225,1.152,0.71,12.786,19.463,TRUE
137,-7.224,2031,121,1302.794,1160.612,214,1.153,1.552,12.136,19.36,TRUE
137_1,-6.21,1025,40,1211.766,1049.049,217,1.153,0.42,13.19,19.4,TRUE
137_10,-6.506,1005,73,916.199,1286.399,223,1.152,0.63,12.972,19.478,TRUE
137_11,-6.081,845,43,909.498,1045.189,222,1.153,0.396,13.264,19.345,TRUE
137_12,-6.539,921,66,899.212,962.798,218,1.153,0.425,13.211,19.75,TRUE
137_13,-6.467,1079,73,814.559,970.706,211,1.153,0.61,12.916,19.383,TRUE
137_2,-6.241,932,38,1196.843,1055.761,228,1.153,0.468,13.129,19.37,TRUE
137_3,-6.709,1341,97,1147.174,1439.366,209,1.152,0.898,12.692,19.401,TRUE
137_4,-6.247,934,41,1146.96,1381.518,219,1.152,0.483,13.173,19.42,TRUE
137_5,-6.961,1324,23,1126.502,1202.132,243,1.152,0.494,13.152,20.113,TRUE
137_6,-6.194,1003,25,1076.752,1261.134,224,1.152,0.454,13.221,19.415,TRUE
137_7,-6.699,986,21,1067.08,1242.016,231,1.152,0.41,13.174,19.873,TRUE
137_8,-6.33,858,31,978.912,1179.702,231,1.152,0.573,12.989,19.319,TRUE
137_9,-6.196,878,48,933.422,1002.775,220,1.153,0.442,13.232,19.428,TRUE
138,-6.21,816,44,1273.38,1129.638,216,1.153,0.532,13.197,19.407,TRUE
138_1,-6.143,800,42,1211.3,1298.906,214,1.152,0.432,13.333,19.476,TRUE
138_10,-5.959,867,42,815.831,1025.919,218,1.153,0.421,13.318,19.277,TRUE
138_2,-6.057,820,25,1177.811,1102.673,222,1.153,0.397,13.326,19.383,TRUE
138_3,-6.146,938,52,1168.636,1356.335,216,1.152,0.493,13.302,19.448,TRUE
138_4,-6.029,791,28,1143.215,1012.953,222,1.153,0.414,13.362,19.391,TRUE
138_5,-6.122,781,51,1139.876,986.217,220,1.153,0.382,13.308,19.43,TRUE
138_6,-6.301,852,42,1126.89,1069.147,221,1.153,0.483,13.216,19.517,TRUE
138_7,-6.097,867,22,984.392,1303.874,225,1.152,0.428,13.317,19.414,TRUE
138_8,-6.984,1655,55,978.633,1296.815,225,1.152,1.313,12.454,19.438,TRUE
138_9,-6.259,850,58,860.54,1219.676,212,1.152,0.578,13.135,19.394,TRUE
139,-6.83,1624,89,1315.292,1002.374,224,1.153,1.429,12.476,19.306,TRUE
139_1,-7.287,2153,136,1280.241,1326.168,214,1.152,1.858,12.044,19.331,TRUE
139_2,-5.992,760,39,1210.771,1143.836,223,1.153,0.419,13.501,19.493,TRUE
139_3,-5.943,778,32,1176.415,1306.929,219,1.152,0.445,13.439,19.382,TRUE
139_4,-6.385,864,36,1136.479,1247.637,221,1.152,0.464,13.311,19.696,TRUE
139_5,-6.405,1175,60,1025.897,1376.658,219,1.152,0.484,13.322,19.727,TRUE
139_6,-6.118,807,44,898.556,1189.349,216,1.152,0.493,13.303,19.421,TRUE
139_7,-5.953,776,39,872.182,1038.226,224,1.153,0.427,13.406,19.359,TRUE
140,-6.247,970,51,1313.602,1341.639,215,1.152,0.704,13.13,19.377,TRUE
140_1,-5.952,735,37,1267.616,1143.16,216,1.153,0.463,13.54,19.492,TRUE
140_10,-6.756,1146,69,911.473,1415.303,217,1.151,0.643,12.642,19.398,TRUE
140_11,-6.951,1722,87,905.406,1008.752,220,1.153,1.59,12.319,19.27,TRUE
140_12,-5.705,714,29,903.59,1216.496,220,1.152,0.443,13.528,19.233,TRUE
140_13,-6.106,868,44,878.61,1240.828,214,1.152,0.564,13.282,19.388,TRUE
140_14,-5.816,790,46,875.512,1311.955,219,1.152,0.466,13.453,19.269,TRUE
140_15,-6.756,1512,93,805.403,1414.392,210,1.151,1.471,12.533,19.289,TRUE
140_2,-6.037,753,52,1208.915,1340.617,214,1.152,0.431,13.478,19.515,TRUE
140_3,-6.114,819,27,1155.202,1233.457,220,1.152,0.497,13.411,19.525,TRUE
140_4,-6.207,821,24,1132.16,1266.727,223,1.152,0.45,13.508,19.715,TRUE
140_5,-6.551,1113,58,1003.462,1317.942,224,1.152,0.936,12.883,19.434,TRUE
140_6,-5.922,816,38,1002.635,1047.994,218,1.153,0.52,13.392,19.314,TRUE
140_7,-6.269,885,34,1001.551,1081.858,223,1.153,0.438,13.474,19.743,TRUE
140_8,-5.842,665,41,965.198,1388.931,217,1.151,0.401,13.602,19.444,TRUE
