Star,IM,Max,SNR,X,Y,Sky,Air,B-V,I-mag,estimate,active
143_8,-6.717,1327,67,1129.797,962.979,218,1.153,1.552,12.74,19.457,TRUE
143_9,-5.771,640,30,1120.939,1060.727,219,1.153,0.463,13.773,19.544,TRUE
144,-5.882,644,42,1327.617,1351.176,218,1.152,0.616,13.687,19.569,TRUE
144_1,-6.797,1349,96,1308.194,1131.797,214,1.153,1.7,12.57,19.367,TRUE
144_2,-6.612,1417,77,1265.381,1182.152,219,1.153,1.671,12.725,19.337,TRUE
144_3,-5.76,660,26,1200.219,1079.742,219,1.153,0.592,13.698,19.458,TRUE
144_4,-5.901,629,32,1117.279,1071.624,221,1.153,0.534,13.824,19.725,TRUE
144_5,-5.951,633,32,955.773,1233.836,219,1.152,0.53,13.574,19.525,TRUE
144_6,-6.037,912,29,927.998,1165.859,218,1.152,0.968,13.279,19.316,TRUE
144_7,-6.677,1416,62,857.605,1144.855,215,1.152,1.671,12.6,19.277,TRUE
144_8,-5.604,559,36,852.268,1276.901,213,1.152,0.489,13.811,19.415,TRUE
144_9,-6.292,755,55,833.262,1261.233,213,1.152,0.876,13.325,19.617,TRUE
145,-5.796,680,41,1326.2,1422.691,215,1.152,0.689,13.671,19.467,TRUE
145_1,-5.842,603,35,1270.82,1303.893,215,1.152,0.497,13.934,19.776,TRUE
145_10,-6.144,617,37,1076.206,1026.03,223,1.153,0.649,13.762,19.906,TRUE
145_11,-5.525,623,22,1068.384,1278.42,222,1.152,0.55,13.877,19.402,TRUE
145_12,-5.701,611,34,974.738,1350.068,214,1.152,0.592,13.7,19.401,TRUE
145_13,-5.325,613,25,929.66,1186.908,223,1.152,0.495,13.96,19.285,TRUE
145_14,-6.501,1155,66,927.919,952.617,217,1.153,1.654,12.869,19.37,TRUE
145_15,-5.615,632,30,923.245,1059.384,221,1.153,0.596,13.841,19.456,TRUE
145_16,-6.006,728,49,899.136,1231.655,215,1.152,0.842,13.508,19.514,TRUE
145_17,-5.521,540,29,814.529,1327.755,211,1.151,0.483,13.967,19.488,TRUE
145_18,-5.544,598,34,813.412,1149.272,213,1.152,0.527,13.879,19.423,TRUE
145_2,-5.458,603,35,1242.895,1397.077,213,1.152,0.483,13.912,19.37,TRUE
145_3,-6.231,853,60,1244.519,1078.343,219,1.153,0.698,13.199,19.43,TRUE
145_4,-5.896,951,44,1225.529,1021.869,222,1.153,0.522,13.99,19.886,TRUE
145_5,-6.675,1125,54,1190.381,1209.599,228,1.152,1.574,12.965,19.64,TRUE
145_6,-5.433,589,21,1143.296,1357.494,217,1.152,0.506,14.004,19.437,TRUE
145_7,-6.464,864,24,1132.603,1246.205,213,1.152,0.591,13.909,20.373,TRUE
145_8,-7.356,2240,118,1082.87,1339.269,220,1.152,2.067,12.027,19.383,TRUE
145_9,-5.916,632,24,1076.349,1425.057,212,1.151,0.618,13.736,19.652,TRUE
146,-6.041,1215,53,1312.861,1127.494,215,1.153,0.525,13.952,19.993,TRUE
146_1,-6.215,846,62,1300.654,1457.555,216,1.152,0.93,13.135,19.35,TRUE
146_10,-5.982,690,44,935.075,996.429,219,1.153,0.973,13.469,19.451,TRUE
146_11,-5.572,589,29,925.937,1140.1,221,1.152,0.527,13.978,19.55,TRUE
146_12,-6.01,697,44,854.207,1381.128,215,1.151,0.908,13.424,19.434,TRUE
146_2,-6.295,897,59,1224.146,1290.52,217,1.152,0.76,13.314,19.609,TRUE
146_3,-6.822,1373,83,1217.858,1291.707,217,1.152,0.531,13.998,20.82,TRUE
146_4,-5.728,547,36,1218.205,1081.299,218,1.153,0.652,13.667,19.395,TRUE
146_5,-5.545,580,29,1071.194,1308.807,217,1.152,0.542,13.956,19.501,TRUE
146_6,-5.53,571,26,1061.997,1433.359,213,1.151,0.597,13.976,19.506,TRUE
146_7,-6.423,942,27,1006.909,1129.917,216,1.152,0.632,13.692,20.115,TRUE
146_8,-5.578,592,26,960.673,1260.1,223,1.152,0.549,14.004,19.582,TRUE
146_9,-5.768,721,39,958.174,1454.635,217,1.151,0.923,13.508,19.276,TRUE
147,-5.406,559,24,1157.461,1038.609,220,1.153,0.651,13.861,19.267,TRUE
147_1,-5.601,584,35,1002.623,1405.999,222,1.151,0.717,13.936,19.537,TRUE
147_2,-7.236,2332,105,906.307,1168.271,217,1.152,1.968,12.046,19.282,TRUE
147_3,-5.578,654,34,902.224,1047.084,220,1.153,0.868,13.781,19.359,TRUE
147_4,-6.036,796,50,811.202,1180.608,213,1.152,1.339,13.236,19.272,TRUE
147_5,-5.796,672,43,804.962,1040.441,216,1.152,0.967,13.549,19.345,TRUE
148,-5.111,491,24,1327.264,1441.933,214,1.152,0.588,14.131,19.242,TRUE
148_1,-6.013,643,41,1229.219,1173.379,225,1.153,0.705,14.075,20.088,TRUE
148_2,-5.628,508,24,1201.824,1212.314,221,1.152,0.632,14.098,19.726,TRUE
148_3,-6.874,1567,55,1171.893,1231.437,226,1.152,0.538,14.289,21.163,TRUE
148_4,-6.963,1205,62,1070.591,1395.299,217,1.152,0.678,14.084,21.047,TRUE
148_5,-5.446,547,28,994.989,1050.259,221,1.153,0.725,13.998,19.444,TRUE
148_6,-5.498,530,29,957.463,1312.103,218,1.152,0.57,14.163,19.661,TRUE
148_7,-6.559,3083,50,936.912,1286.47,225,1.152,0.611,14.105,20.664,TRUE
149,-7.241,2150,131,1139.68,1406.653,215,1.152,0.774,14.086,21.327,TRUE
149_1,-5.958,558,28,1113.955,1058.25,218,1.153,0.948,13.863,19.821,TRUE
149_2,-6.094,839,36,969.22,1117.692,221,1.152,1.663,13.246,19.34,TRUE
149_3,-5.566,638,28,870.811,1271.405,212,1.152,0.897,13.839,19.405,TRUE
150,-6.002,855,44,1326.089,1326.073,217,1.152,1.701,13.334,19.336,TRUE
150_1,-5.483,473,34,1320.402,1304.229,211,1.152,0.607,14.305,19.788,TRUE
150_2,-5.394,578,24,1177.298,1387.028,215,1.152,0.86,13.994,19.388,TRUE
150_3,-6.201,786,56,938.106,1310.542,215,1.152,1.567,13.353,19.554,TRUE
151,-5.964,611,33,918.663,1419.589,211,1.151,1.292,13.624,19.588,TRUE
151_1,-5.419,493,29,829.788,1324.485,211,1.151,0.811,14.138,19.557,TRUE
152,-5.439,488,27,1246.292,1107.6,220,1.153,0.749,14.375,19.814,TRUE
152_1,-5.865,720,38,1218.85,1121.814,220,1.153,1.542,13.544,19.409,TRUE
152_2,-5.431,501,24,1151.682,1339.413,218,1.152,0.911,14.029,19.46,TRUE
152_3,-6.328,786,63,937.356,1309.535,217,1.152,0.672,14.414,20.742,TRUE
152_4,-5.202,533,25,819.733,1252.626,211,1.152,0.954,14.156,19.358,TRUE
153,-5.443,471,35,1308.459,1431.034,212,1.152,0.97,14.202,19.645,TRUE
153_1,-5.074,456,27,1020.719,1392.005,214,1.152,0.877,14.33,19.404,TRUE
154,-5.256,466,22,975.621,1384.084,215,1.151,0.841,14.452,19.708,TRUE
156,-7.948,4184,196,1312.635,1094.389,219,1.153,1.283,14.228,22.176,TRUE
