"Decimal 
Year","Number of 
Nights","Measurments
per Night","theta 
measured","rho 
measured","theta 
orbital model","rho 
orbital model","theta 
residual (O-C)","rho 
residual (O-C)"
2022.607416,3,10,329.486703,7.85873384,329.5177752,7.879191899,-0.031072229,-0.020458059
2023.766864,10,4-5,328.7295329,7.830017547,329.1699408,7.78181656,-0.440407912,0.048200986
