x,y,star_id
968, 563,'pi Sco'
787, 680,'del Sco'
672, 830,'bet01 Sco'
1091, 876,'sig Sco'
1186, 948,'alp Sco'
1320, 974,'tau Sco'
1713, 949,'eps Sco'
1916, 847,'mu02 Sco'
448, 1516,'zet Oph'
976, 1754,'eta Oph'
259, 2842,'bet Oph'
1348, 2930,'alp Sct'
1100, 2474,'nu Oph'
1706, 2228,'mu Sgr'
2004, 2210,'lam Sgr'
2227, 2319,'phi Sgr'
2506, 2358,'zet Sgr'
2286, 2433,'sig Sgr'
2458, 2488,'tau Sgr'
2099, 2663,'xi02 Sgr'
2211, 2787,'pi Sgr'
2780, 784,'alp Ara'
2302, 869,'eta Sco'
2438, 1108,'tet Sco'
2111, 1257,'ups Sco'
2121, 1291,'lam Sco'
2273, 1303,'kap Sco'
2360, 1306,'iot01 Sco'
2229, 1444,'G Sco'
2418, 1695,'eta Sgr'
2360, 1843,'eps Sgr'
2040, 1825,'gam Sgr'
2134, 1986,'del Sgr'
