x,y,star_id
1382, 120,'phi Sgr'
1359, 299,'sig Sgr'
1629, 376,'zet Sgr'
1489, 479,'tau Sgr'
1003, 412,'xi02 Sgr'
1076, 525,'omi Sgr'
1044, 620,'pi Sgr'
880, 874,'rho01 Sgr'
827, 1865,'alp02 Cap'
982, 1859,'bet Cap'
799, 2383,'eps Cap'
1385, 2451,'tet Cap'
1463, 2699,'iot Cap' 
1572, 2969,'gam Cap'
1591, 3092,'del Cap'
823, 3179,'bet Aqr'
1822, 2604,'zet Cap'
1797, 2652,'b Cap'
2213, 365,'alp Cra'
2321, 350,'bet Cra'
2438, 533,'alp Sgr'
2722, 445,'bet01 Sgr'
2750, 451,'bet02 Sgr'
2606, 935,'iot Sgr'
1747, 1977,'psi Cap'
1874, 2014,'ome Cap'
2928, 2508,'gam Gru'
