x,y,star_id
202, 264,'bet Ori'
770, 150,'kap Ori'
609, 413,'iot Ori'
467, 656,'eta Ori'
704, 625,'sig Ori'
621, 779,'del Ori'
679, 717,'eps Ori'
744, 665,'zet Ori'
589, 1198,'gam Ori'
1066, 1199,'alp Ori'
789, 1388,'lam Ori'
947, 2028,'zet Tau'
873, 2513,'bet Tau'
1470, 2003,'eta Gem'
1578, 1986,'mu Gem'
1729, 1621,'gam Gem'
1861, 2096,'eps Gem'
2090, 1813,'zet Gem'
2252, 1580,'lam Gem'
2300, 1878,'del Gem'
2523, 2449,'alp Gem'
2647, 2217,'bet Gem'
2344, 1122,'bet CMi'
2506, 935,'alp CMi'
2360, 1158,'gam CMi'
