x,y,star_id
1665, 108,'zet CMa'
863, 618,'bet Lep'
905, 820,'alp Lep'
1191, 676,'del Lep'
1106, 558,'gam Lep'
1215, 1103,'zet Lep'
2193, 235,'eps CMa'
2564, 213,'eta CMa'
2307, 427,'del CMa'
2209, 600,'omi02 CMa'
1900, 1034,'alp CMa'
1603, 925,'bet CMa'
569, 1352,'bet Ori'
1065, 1345,'kap Ori'
446, 1523,'bet Eri'
610, 1443,'tau Ori'
864, 1533,'iot Ori'
684, 1771,'eta Ori'
892, 1730,'sig Ori'
781, 1844,'del Ori'
847, 1801,'eps Ori'
917, 1768,'zet Ori'
717, 3104,'zet Tau'
1578, 2884,'gam Gem'
1338, 3235,'mu Gem'
