Primary target: NGC 3532
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-06 23:43:54
JD: 2459433.48882
Decimal date: 2021-08-06.98882
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350583551883-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
109_7	-8.171	2712	214	532.348	939.045	155	1.705	0.284	10.737	18.908	True		
109_8	-8.502	3525	251	500.727	1617.602	158	1.703	0.888	10.434	18.936	True		
109_9	-8.166	2718	213	287.668	1707.889	155	1.700	0.261	10.766	18.932	True		
79	-11.335	47620	943	1617.544	1235.964	167	1.720	0.607	7.545	18.880	True		
79_1	-11.710	55260	1125	1389.741	1203.400	173	1.717	1.552	7.100	18.810	True		
80	-10.828	29857	748	1735.409	1340.859	167	1.722	0.004	8.032	18.860	True		
80_1	-10.790	28946	748	1368.296	735.614	165	1.717	-0.078	8.066	18.856	True		
81	-10.644	24955	696	1576.792	1350.613	170	1.719	0.025	8.193	18.837	True		
81_1	-10.655	27051	691	1358.480	1292.919	168	1.716	0.020	8.184	18.839	True		
82	-11.491	52378	1025	697.688	825.280	169	1.707	1.512	7.415	18.906	True		
82_1	-10.620	24246	690	527.899	1735.867	161	1.703	-0.012	8.287	18.907	True		
83	-10.543	21913	666	1745.805	296.532	163	1.723	0.027	8.304	18.847	True		
83_1	-10.498	24294	650	1352.349	1056.923	167	1.716	0.004	8.341	18.839	True		
83_2	-10.120	14406	530	1138.970	932.295	169	1.713	0.008	8.316	18.436	True		
83_3	-10.528	20452	648	547.094	1196.641	163	1.704	0.011	8.331	18.859	True		
84	-10.321	18723	601	1003.587	1045.786	170	1.711	-0.072	8.509	18.830	True		
84_1	-10.444	21467	632	913.867	1692.841	166	1.709	-0.003	8.443	18.887	True		
84_2	-10.409	21123	625	885.844	1257.757	169	1.709	0.074	8.425	18.834	True		
84_3	-10.502	21314	653	342.791	1310.892	162	1.701	-0.009	8.404	18.906	True		
85	-10.293	19579	590	918.531	977.067	165	1.710	0.022	8.549	18.842	True		
86	-10.267	19437	585	1226.379	1387.954	167	1.714	-0.011	8.552	18.819	True		
86_1	-10.174	15200	559	661.711	1269.493	165	1.706	0.008	8.676	18.850	True		
88	-10.059	14117	531	1069.069	1535.713	164	1.711	0.065	8.783	18.842	True		
88_1	-10.053	15731	526	881.467	1461.917	165	1.709	0.046	8.810	18.863	True		
88_2	-10.128	16296	548	208.469	587.747	160	1.701	0.035	8.796	18.924	True		
89	-9.931	13198	500	1128.675	1237.605	165	1.713	0.046	8.894	18.825	True		
89_1	-9.870	12753	477	805.376	662.002	164	1.709	-0.016	8.971	18.841	True		
89_2	-9.938	14163	502	796.482	1328.227	165	1.708	0.131	8.900	18.838	True		
89_3	-9.994	14570	511	544.073	275.839	163	1.706	0.004	8.920	18.914	True		
89_4	-9.991	15041	513	142.406	1834.870	170	1.698	-0.008	8.940	18.931	True		
89_5	-9.985	13402	513	82.714	1508.819	156	1.697	-0.077	8.947	18.932	True		
90	-9.873	12893	486	1865.057	761.832	159	1.724	0.033	8.998	18.871	True		
90_1	-9.824	11586	477	1788.671	1403.821	163	1.722	0.104	9.052	18.876	True		
90_2	-9.886	13001	484	1034.371	1521.610	165	1.711	0.115	8.975	18.861	True		
90_3	-9.920	12904	499	586.260	483.690	162	1.706	0.025	8.975	18.895	True		
90_4	-9.940	13006	496	343.026	604.017	162	1.702	0.119	8.983	18.923	True		
91	-9.693	10583	445	1456.712	1112.697	165	1.718	0.036	9.126	18.819	True		
91_1	-9.646	10728	439	1032.124	704.790	159	1.712	0.009	9.194	18.840	True		
91_2	-9.834	12519	477	233.427	1572.865	158	1.699	0.055	9.087	18.921	True		
92_1	-9.927	13930	499	1881.790	1400.515	164	1.724	0.399	8.980	18.907	True		
92_2	-9.543	9910	415	1279.836	1376.221	166	1.715	0.071	9.250	18.793	True		
92_3	-9.610	9393	429	1247.208	1553.957	163	1.714	0.040	9.232	18.842	True		
92_4	-9.565	9414	420	820.475	1136.615	164	1.708	0.068	9.231	18.796	True		
92_5	-9.712	10253	451	539.067	662.560	161	1.705	0.030	9.170	18.882	True		
93	-9.548	10170	418	1315.623	1163.179	164	1.716	0.053	9.296	18.844	True		
94	-9.393	8106	388	1872.053	1310.705	161	1.724	0.024	9.469	18.862	True		
94_1	-9.384	8008	387	1713.317	1610.877	161	1.721	0.031	9.483	18.867	True		
94_2	-9.431	7543	396	1266.232	353.644	160	1.716	0.008	9.429	18.860	True		
94_3	-9.987	13332	507	1251.914	1617.106	166	1.714	1.063	8.920	18.907	True		
94_4	-9.304	7014	373	1027.679	1160.651	167	1.711	0.110	9.413	18.717	True		
94_5	-9.506	9339	409	411.548	511.809	161	1.704	-0.007	9.412	18.918	True		
95	-9.311	7613	373	1680.766	1639.801	162	1.720	0.063	9.558	18.869	True		
95_1	-9.221	7603	349	1456.818	1505.981	166	1.717	0.149	9.502	18.723	True		
95_2	-9.350	8744	380	1310.548	1111.994	165	1.716	0.087	9.498	18.848	True		
95_3	-9.315	8340	376	1171.712	716.240	161	1.714	0.035	9.526	18.841	True		
