jd,mag,err
2459310.725,14.266,0.016
2459312.707,13.953,0.014
2459315.654,13.588,0.01
2459316.664,13.446,0.009
2459317.72,13.499,0.01
2459318.708,13.378,0.009
2459322.614,13.466,0.01
2459323.61,13.452,0.01
2459324.636,13.523,0.009
2459334.661,14.2,0.021
2459340.654,14.808,0.025
2459344.614,15.029,0.03
2459345.615,15.084,0.036
2459352.643,15.252,0.047
2459368.564,15.647,0.049
2459374.564,15.568,0.046
2459376.56,15.711,0.05
2459377.555,15.62,0.048
