Primary target: NGC 3532
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-06 23:45:55
JD: 2459433.49022
Decimal date: 2021-08-06.99022
R.A.: 11:05:25.85
Dec.: -58:46:52.35
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350416527601-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
109_7	-8.537	3889	255	530.986	939.357	171	1.715	0.284	11.275	19.812	True		
109_8	-8.193	2871	212	499.643	1617.606	170	1.714	0.888	11.838	20.031	True		
109_9	-8.638	3987	268	286.463	1708.313	173	1.710	0.261	11.223	19.861	True		
79	-11.329	42483	959	1616.020	1236.549	186	1.731	0.607	8.513	19.842	True		
79_1	-10.618	24568	690	1388.348	1203.942	183	1.728	1.552	9.490	20.108	True		
80	-11.657	50807	1113	1733.842	1341.331	189	1.733	0.004	8.026	19.683	True		
80_1	-11.686	52542	1128	1366.745	735.911	183	1.728	-0.078	7.941	19.627	True		
81	-11.490	50322	1038	1575.014	1351.074	184	1.730	0.025	8.214	19.704	True		
81_1	-11.490	46747	1027	1356.951	1293.503	184	1.727	0.020	8.197	19.687	True		
82	-10.404	19956	627	696.564	825.657	174	1.718	1.512	9.763	20.167	True		
82_1	-11.490	50583	1032	526.476	1736.236	183	1.714	-0.012	8.285	19.775	True		
83	-11.411	49856	998	1744.579	296.844	181	1.735	0.027	8.386	19.797	True		
83_1	-11.356	43155	972	1350.852	1057.507	186	1.727	0.004	8.334	19.690	True		
83_2	-11.011	33553	820	1137.508	932.559	178	1.724	0.008	8.355	19.366	True		
83_3	-11.388	49415	970	545.857	1197.039	178	1.715	0.011	8.374	19.762	True		
84	-11.285	44166	946	1001.985	1046.147	184	1.722	-0.072	8.405	19.690	True		
84_1	-11.345	45559	970	912.834	1693.499	181	1.720	-0.003	8.430	19.775	True		
84_2	-11.187	40102	900	884.626	1258.395	182	1.720	0.074	8.545	19.732	True		
84_3	-11.354	44818	973	341.583	1311.293	185	1.712	-0.009	8.424	19.778	True		
