Primary target: NGC 3532
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-06 23:45:09
JD: 2459433.48969
Decimal date: 2021-08-06.98969
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637639350793387988-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
109_7	-8.468	4022	245	532.928	939.179	158	1.711	0.284	10.991	19.459	True		
109_8	-8.418	3637	236	501.469	1617.649	161	1.710	0.888	10.950	19.368	True		
109_9	-8.535	4034	252	288.566	1708.034	162	1.706	0.261	10.962	19.497	True		
79	-11.420	52149	994	1617.865	1236.085	171	1.727	0.607	7.906	19.326	True		
79_1	-11.215	44655	911	1390.272	1203.755	173	1.723	1.552	7.938	19.153	True		
80	-11.425	52726	995	1735.991	1341.188	176	1.728	0.004	8.022	19.447	True		
80_1	-11.415	51592	997	1368.944	735.636	171	1.724	-0.078	8.019	19.434	True		
81	-11.253	44864	928	1577.105	1350.874	174	1.726	0.025	8.189	19.442	True		
81_1	-11.251	48032	919	1359.025	1293.250	170	1.723	0.020	8.177	19.428	True		
82	-10.962	37031	808	698.313	825.571	164	1.714	1.512	8.251	19.213	True		
82_1	-11.235	47617	920	528.673	1735.947	168	1.710	-0.012	8.297	19.532	True		
83	-11.123	41361	876	1746.277	296.698	175	1.730	0.027	8.359	19.482	True		
83_1	-11.103	43623	865	1352.673	1057.089	168	1.723	0.004	8.330	19.433	True		
83_2	-10.700	27573	709	1139.576	932.400	166	1.720	0.008	8.347	19.047	True		
83_3	-11.125	43939	863	547.872	1196.810	169	1.711	0.011	8.363	19.488	True		
84	-10.946	32762	806	1004.006	1045.921	169	1.718	-0.072	8.477	19.423	True		
84_1	-11.048	38073	841	914.725	1693.062	170	1.716	-0.003	8.433	19.481	True		
84_2	-10.936	35797	798	886.644	1258.068	170	1.716	0.074	8.471	19.407	True		
84_3	-11.082	40236	857	343.559	1310.977	169	1.708	-0.009	8.433	19.515	True		
85	-10.869	36288	775	919.154	977.187	163	1.717	0.022	8.563	19.432	True		
86	-10.863	31683	776	1226.998	1388.157	170	1.721	-0.011	8.566	19.429	True		
86_1	-10.764	29426	739	662.206	1269.743	166	1.713	0.008	8.692	19.456	True		
88	-10.637	28310	700	1069.796	1535.745	168	1.718	0.065	8.815	19.452	True		
88_1	-10.610	23761	684	881.932	1462.031	167	1.715	0.046	8.831	19.441	True		
88_2	-10.663	24357	705	208.887	587.852	166	1.707	0.035	8.880	19.543	True		
89	-10.506	22277	657	1129.127	1237.744	164	1.720	0.046	8.911	19.417	True		
89_1	-10.496	25417	645	805.818	662.105	165	1.716	-0.016	8.980	19.476	True		
89_2	-10.458	25449	641	797.049	1328.526	165	1.714	0.131	8.981	19.439	True		
89_3	-10.594	27725	681	544.714	276.062	171	1.713	0.004	8.965	19.559	True		
89_4	-10.575	23709	676	142.979	1835.229	177	1.704	-0.008	8.981	19.556	True		
89_5	-10.612	27106	688	83.665	1508.907	166	1.704	-0.077	8.955	19.567	True		
90	-10.454	22163	639	1865.729	761.927	169	1.731	0.033	9.018	19.472	True		
90_1	-10.372	19015	616	1789.380	1404.024	172	1.729	0.104	9.094	19.466	True		
90_2	-10.394	21476	619	1034.905	1521.758	169	1.718	0.115	9.029	19.423	True		
90_3	-10.513	26716	660	586.768	483.763	166	1.713	0.025	9.018	19.531	True		
90_4	-10.446	22899	638	343.697	604.244	166	1.709	0.119	9.093	19.539	True		
91	-10.297	19497	593	1457.595	1112.826	169	1.725	0.036	9.127	19.424	True		
91_1	-10.260	21447	585	1032.824	704.787	163	1.719	0.009	9.199	19.459	True		
