Primary target: NGC 3532
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-10 23:54:44
JD: 2459437.49634
Decimal date: 2021-08-10.99634
R.A.: 11:05:20.76
Dec.: -58:42:14.04
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637643135997533994-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
108_3	-8.839	6309	297	683.751	1416.247	138	1.862	0.333	10.835	19.674	True		
108_4	-8.965	7703	315	385.645	987.464	135	1.858	0.209	10.815	19.780	True		
109	-8.622	5054	257	1810.030	1944.529	148	1.880	0.822	10.927	19.549	True		
109_1	-8.690	5230	276	1609.345	554.490	141	1.881	1.011	10.908	19.598	True		
109_2	-8.728	5816	279	1400.446	1618.370	140	1.874	0.517	10.920	19.648	True		
109_3	-8.814	6302	291	1257.103	316.334	140	1.876	0.227	10.932	19.746	True		
109_4	-8.789	6667	287	1201.356	1946.277	146	1.869	0.285	10.931	19.720	True		
109_5	-8.740	6468	280	1126.470	1749.416	140	1.868	0.286	10.986	19.726	True		
109_6	-8.680	5464	270	618.281	149.258	139	1.865	0.946	10.999	19.679	True		
109_7	-8.727	5326	280	533.888	943.058	136	1.861	0.284	10.991	19.718	True		
109_8	-8.705	5536	276	502.391	1621.548	136	1.858	0.888	10.950	19.655	True		
109_9	-8.809	6658	290	289.417	1711.983	142	1.854	0.261	10.962	19.771	True		
79	-11.583	55919	1068	1618.952	1239.810	154	1.879	0.607	7.906	19.489	True		
79_1	-11.415	54437	993	1391.091	1207.277	152	1.875	1.552	7.938	19.353	True		
80	-11.597	57911	1069	1736.950	1345.031	158	1.881	0.004	8.022	19.619	True		
80_1	-11.574	55140	1063	1369.881	739.318	147	1.876	-0.078	8.019	19.593	True		
81	-11.451	56399	1010	1578.203	1354.631	153	1.878	0.025	8.189	19.640	True		
81_1	-11.438	54523	996	1360.045	1297.081	150	1.874	0.020	8.177	19.615	True		
82	-11.216	55153	908	699.141	829.248	143	1.864	1.512	8.251	19.467	True		
82_1	-11.434	59351	1002	529.724	1740.005	150	1.858	-0.012	8.297	19.731	False		
83	-11.414	61640	997	1747.323	300.136	151	1.885	0.027	8.359	19.773	False		
83_1	-11.322	52231	949	1353.766	1060.796	147	1.875	0.004	8.330	19.652	True		
83_2	-10.978	46382	792	1140.640	936.457	143	1.872	0.008	8.347	19.325	True		
83_3	-11.337	56056	948	548.742	1200.437	148	1.860	0.011	8.363	19.700	True		
84	-11.210	53445	907	1005.140	1049.677	141	1.869	-0.072	8.477	19.687	True		
84_1	-11.299	54450	945	915.698	1697.126	151	1.865	-0.003	8.433	19.732	True		
84_2	-11.206	53515	901	887.656	1261.874	143	1.866	0.074	8.471	19.677	True		
84_3	-11.330	58166	960	344.492	1314.858	150	1.856	-0.009	8.433	19.763	False		
85	-11.136	52640	870	919.980	981.039	142	1.867	0.022	8.563	19.699	True		
86	-11.167	53771	888	1228.061	1392.170	146	1.871	-0.011	8.566	19.733	True		
86_1	-11.056	47160	843	663.247	1273.647	145	1.862	0.008	8.692	19.748	True		
88	-10.912	45015	790	1070.787	1539.471	146	1.868	0.065	8.815	19.727	True		
88_1	-10.899	38959	784	882.969	1466.109	146	1.865	0.046	8.831	19.730	True		
88_2	-10.959	47107	810	209.830	591.642	145	1.856	0.035	8.880	19.839	True		
89	-10.779	39043	745	1130.268	1241.506	143	1.870	0.046	8.911	19.690	True		
89_1	-10.746	33150	724	806.895	665.935	143	1.867	-0.016	8.980	19.726	True		
89_2	-10.699	31625	717	798.130	1332.175	143	1.864	0.131	8.981	19.680	True		
89_3	-10.834	36354	762	545.687	279.918	147	1.863	0.004	8.965	19.799	True		
89_4	-10.862	38751	770	144.005	1839.262	153	1.851	-0.008	8.981	19.843	True		
89_5	-10.874	40567	775	84.594	1512.809	145	1.851	-0.077	8.955	19.829	True		
90	-10.760	34915	736	1866.593	765.599	148	1.885	0.033	9.018	19.778	True		
90_1	-10.649	33170	700	1790.144	1407.622	148	1.881	0.104	9.094	19.743	True		
90_2	-10.663	31868	701	1036.200	1525.372	146	1.867	0.115	9.029	19.692	True		
90_3	-10.760	36023	738	587.684	487.515	144	1.863	0.025	9.018	19.778	True		
90_4	-10.679	32926	709	344.624	608.125	145	1.859	0.119	9.093	19.772	True		
91	-10.572	30783	677	1458.601	1116.532	148	1.877	0.036	9.127	19.699	True		
91_1	-10.518	30204	659	1033.663	708.497	141	1.870	0.009	9.199	19.717	True		
91_2	-10.650	30967	698	234.993	1577.011	147	1.853	0.055	9.155	19.805	True		
92_1	-10.480	25582	648	1883.429	1404.224	151	1.883	0.399	9.210	19.690	True		
92_2	-10.390	27674	619	1281.306	1380.184	144	1.872	0.071	9.283	19.673	True		
92_3	-10.489	26323	648	1248.845	1557.928	147	1.871	0.040	9.227	19.716	True		
92_4	-10.386	26722	620	822.051	1140.503	144	1.865	0.068	9.286	19.672	True		
92_5	-10.559	32183	673	540.630	666.258	142	1.862	0.030	9.216	19.775	True		
93	-10.380	25676	620	1316.995	1167.070	143	1.874	0.053	9.302	19.682	True		
94	-10.299	22878	595	1873.946	1314.811	150	1.883	0.024	9.465	19.764	True		
94_1	-10.285	24373	591	1714.857	1614.852	149	1.879	0.031	9.491	19.776	True		
94_2	-10.331	24875	604	1267.598	357.612	145	1.876	0.008	9.444	19.775	True		
94_3	-10.093	18139	539	1253.973	1621.149	146	1.871	1.063	9.472	19.565	True		
94_4	-10.141	21477	553	1029.443	1164.365	144	1.869	0.110	9.493	19.634	True		
94_5	-10.351	22850	610	412.980	515.669	145	1.860	-0.007	9.436	19.787	True		
95	-10.204	21610	570	1682.608	1643.829	150	1.879	0.063	9.558	19.762	True		
95_1	-10.030	19167	517	1458.810	1510.280	146	1.875	0.149	9.590	19.620	True		
95_2	-10.147	20188	553	1311.945	1116.007	144	1.874	0.087	9.535	19.682	True		
95_3	-10.168	19937	561	1173.202	720.132	139	1.873	0.035	9.536	19.704	True		
95_4	-10.238	22273	579	737.052	1608.201	141	1.862	0.022	9.525	19.763	True		
95_5	-10.225	24278	575	307.386	548.679	142	1.858	0.039	9.594	19.819	True		
96	-10.069	18321	533	753.514	1775.888	145	1.862	0.144	9.668	19.737	True		
96_1	-10.003	17760	517	630.836	1350.197	142	1.861	0.097	9.695	19.698	True		
96_2	-10.125	20601	549	533.158	1481.344	143	1.859	0.072	9.633	19.758	True		
96_3	-10.022	17139	522	498.766	1169.642	140	1.859	0.137	9.682	19.704	True		
97	-10.071	16352	534	1842.312	111.325	145	1.887	0.024	9.746	19.817	True		
97_1	-9.962	15362	507	1469.849	1244.143	144	1.876	0.091	9.736	19.698	True		
97_2	-10.051	19577	529	885.072	81.289	144	1.870	0.042	9.782	19.833	True		
97_3	-9.935	17902	497	839.137	1290.820	142	1.865	0.100	9.754	19.689	True		
97_4	-9.925	18928	500	604.255	1000.120	139	1.862	0.175	9.798	19.723	True		
97_5	-9.974	18887	511	590.660	1525.349	141	1.860	0.074	9.785	19.759	True		
97_6	-10.023	17930	523	286.050	1521.588	142	1.854	0.057	9.768	19.791	True		
98	-9.865	16715	484	1646.151	1572.786	149	1.878	0.127	9.863	19.728	True		
98_1	-9.898	15492	495	1509.313	1618.270	145	1.876	0.124	9.821	19.719	True		
98_2	-9.864	16660	486	1328.858	1527.370	143	1.873	0.097	9.847	19.711	True		
98_3	-9.831	14187	479	1085.074	866.742	135	1.871	0.086	9.824	19.655	True		
98_4	-9.906	17445	494	270.170	1014.282	142	1.856	0.093	9.862	19.768	True		
99_1	-9.597	13913	428	785.016	475.795	138	1.867	1.280	9.962	19.559	True		
99_2	-9.697	13125	450	495.812	1098.136	139	1.859	0.598	9.957	19.654	True		
99_3	-9.795	15858	467	363.253	1409.044	138	1.856	0.060	9.986	19.781	True		
