Primary target: NGC 3532
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-10 23:54:44
JD: 2459437.49634
Decimal date: 2021-08-10.99634
R.A.: 11:05:20.76
Dec.: -58:42:14.04
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637643135997533994-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
100	-9.541	12751	412	1721.946	1820.850	148	1.879	0.192	10.090	19.631	True		
100_1	-9.687	13596	446	1551.845	1776.320	146	1.876	0.132	10.049	19.736	True		
100_2	-9.572	12052	421	1492.670	678.228	141	1.879	0.772	10.043	19.615	True		
100_3	-9.668	13053	443	1431.922	524.566	142	1.878	0.116	10.057	19.725	True		
100_4	-9.661	14010	440	1069.743	1899.221	143	1.867	0.113	10.073	19.734	True		
100_5	-9.679	12506	444	600.864	1332.158	140	1.860	0.097	10.062	19.741	True		
100_6	-9.647	12926	438	573.072	1354.631	138	1.860	0.153	10.083	19.730	True		
100_7	-9.771	13564	460	298.717	214.075	142	1.859	0.209	10.001	19.772	True		
101	-9.489	10722	399	1925.200	1969.922	149	1.882	0.232	10.196	19.685	True		
101_1	-9.534	10647	413	1945.619	422.640	148	1.888	0.158	10.195	19.729	True		
101_10	-9.641	14109	435	621.169	1499.260	139	1.860	0.124	10.104	19.745	True		
101_11	-9.617	11369	428	170.898	1245.057	141	1.853	0.103	10.167	19.784	True		
101_12	-9.769	15747	463	88.896	386.619	142	1.855	-0.050	10.106	19.875	True		
101_2	-9.576	11480	422	1853.818	556.084	146	1.886	0.005	10.195	19.771	True		
101_3	-9.590	12185	424	1767.680	846.537	145	1.883	0.100	10.133	19.723	True		
101_4	-9.501	11732	406	1480.180	1468.021	141	1.876	0.159	10.119	19.620	True		
101_5	-9.419	10079	393	1418.758	606.685	140	1.878	1.199	10.122	19.541	True		
101_6	-9.459	11862	399	1314.725	867.331	138	1.875	0.258	10.168	19.627	True		
101_7	-9.472	10519	402	1197.373	355.904	139	1.875	0.232	10.193	19.665	True		
101_8	-9.638	13517	437	1167.275	1783.376	144	1.869	0.126	10.120	19.758	True		
101_9	-9.598	12085	428	1062.974	566.776	140	1.872	0.099	10.125	19.723	True		
102	-9.553	11063	418	1941.593	120.726	146	1.889	0.113	10.239	19.792	True		
102_1	-9.456	10941	399	1559.708	575.697	141	1.880	0.536	10.217	19.673	True		
102_2	-9.439	9578	394	1551.655	1231.783	144	1.878	0.144	10.240	19.679	True		
102_3	-9.456	12063	398	1286.041	236.302	141	1.877	0.158	10.295	19.751	True		
102_5	-9.303	9606	370	1097.898	1406.987	140	1.869	0.654	10.292	19.595	True		
102_6	-9.397	10522	385	776.821	1003.658	139	1.865	0.141	10.269	19.666	True		
102_7	-9.591	13485	423	664.345	95.986	141	1.866	0.080	10.218	19.809	True		
102_8	-9.415	10697	394	562.900	1310.562	138	1.860	0.384	10.295	19.710	True		
102_9	-9.471	11155	400	317.086	1671.880	141	1.854	0.134	10.290	19.761	True		
103_1	-9.380	9641	386	1734.753	543.870	145	1.884	0.165	10.363	19.743	True		
103_3	-9.369	11688	382	1484.978	590.437	141	1.879	0.171	10.365	19.734	True		
103_4	-9.379	11226	384	1390.903	1946.912	149	1.872	0.186	10.396	19.775	True		
103_5	-9.288	8919	368	894.996	1294.129	140	1.866	0.178	10.366	19.654	True		
103_6	-9.417	11638	392	301.204	446.005	141	1.858	0.139	10.398	19.815	True		
103_7	-9.308	10841	370	136.329	1546.525	141	1.852	0.683	10.395	19.703	True		
104	-9.325	10959	373	1185.333	1557.984	141	1.870	0.179	10.400	19.725	True		
104_1	-9.187	9127	349	1090.794	1040.235	139	1.870	0.155	10.439	19.626	True		
105	-9.080	8189	333	1406.800	1040.908	142	1.876	0.211	10.593	19.673	True		
105_1	-9.127	8670	340	1116.900	1090.478	139	1.871	0.231	10.530	19.657	True		
105_2	-9.200	9082	354	839.782	482.468	139	1.868	0.182	10.527	19.727	True		
105_3	-9.134	8202	343	721.560	451.603	136	1.866	0.243	10.595	19.729	True		
105_4	-9.099	7729	330	419.780	1648.061	140	1.856	0.891	10.524	19.623	True		
105_5	-9.259	9145	359	137.356	1068.493	139	1.853	0.136	10.517	19.776	True		
105_6	-9.200	9743	347	124.137	1138.856	140	1.853	0.001	10.547	19.747	True		
106	-9.051	7448	328	1776.808	693.652	143	1.884	0.191	10.688	19.739	True		
106_1	-9.122	7844	339	1598.534	1485.868	143	1.878	0.205	10.603	19.725	True		
106_2	-9.065	8243	332	624.798	938.277	136	1.862	0.197	10.655	19.720	True		
107	-8.828	5611	290	1947.359	1819.837	149	1.883	1.222	10.710	19.538	True		
107_1	-8.965	6741	316	1721.672	1437.925	142	1.880	0.370	10.732	19.697	True		
107_2	-8.931	7303	309	1534.158	1371.616	144	1.877	0.235	10.761	19.692	True		
107_3	-8.981	7589	313	924.099	1633.079	138	1.865	0.245	10.705	19.686	True		
107_4	-8.943	7599	311	623.165	1068.835	137	1.862	0.232	10.766	19.709	True		
107_5	-9.030	7919	319	596.157	1393.781	141	1.860	0.027	10.736	19.766	True		
107_6	-8.886	6870	302	550.469	242.094	140	1.864	1.168	10.718	19.604	True		
107_7	-8.972	6682	312	517.894	1589.124	140	1.858	0.357	10.740	19.712	True		
108	-8.869	6876	299	1434.738	492.819	140	1.878	0.224	10.858	19.727	True		
108_1	-8.843	6265	296	1077.088	599.218	138	1.872	0.416	10.826	19.669	True		
108_2	-8.916	7165	308	834.666	439.255	135	1.868	0.206	10.851	19.767	True		
