Primary target: LMC V0432
Exposure time: 20 s
Filter: V
Observation date/time: 2021-08-09 23:29:58
JD: 2459436.47914
Decimal date: 2021-08-09.97914
R.A.: 11:04:12.65
Dec.: -58:41:53.58
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637642182320458902-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	V-mag	Target estimate	Active		
109_7	-8.630	5101	268	531.575	942.752	137	1.693	0.284	10.991	19.621	True		
109_8	-8.614	4925	262	500.048	1621.386	137	1.692	0.888	10.950	19.564	True		
109_9	-8.716	5682	278	286.960	1711.768	141	1.689	0.261	10.962	19.678	True		
79	-11.509	56100	1039	1616.698	1239.810	151	1.708	0.607	7.906	19.415	True		
79_1	-11.355	54130	973	1388.883	1207.319	149	1.705	1.552	7.938	19.293	True		
80	-11.527	58015	1049	1734.582	1344.680	153	1.710	0.004	8.022	19.549	False		
80_1	-11.502	55111	1040	1367.590	739.164	150	1.706	-0.078	8.019	19.521	True		
81	-11.383	56406	985	1575.814	1354.716	150	1.708	0.025	8.189	19.572	True		
81_1	-11.367	54545	974	1357.647	1296.736	147	1.705	0.020	8.177	19.544	True		
82	-11.139	50871	883	697.093	828.898	143	1.696	1.512	8.251	19.390	True		
82_1	-11.371	58766	982	527.082	1739.723	147	1.692	-0.012	8.297	19.668	False		
83	-11.331	56960	963	1745.166	300.082	151	1.712	0.027	8.359	19.690	True		
83_1	-11.250	53748	927	1351.525	1060.772	146	1.705	0.004	8.330	19.580	True		
83_2	-10.887	40162	776	1138.243	936.363	143	1.702	0.008	8.347	19.234	True		
83_3	-11.268	55547	930	546.453	1200.294	146	1.693	0.011	8.363	19.631	True		
84	-11.120	51860	875	1002.823	1049.625	146	1.700	-0.072	8.477	19.597	True		
84_1	-11.222	55443	918	913.478	1696.880	150	1.698	-0.003	8.433	19.655	True		
84_2	-11.125	52388	875	885.150	1261.770	144	1.698	0.074	8.471	19.596	True		
84_3	-11.250	56375	928	341.944	1314.658	149	1.690	-0.009	8.433	19.683	True		
85	-11.038	48471	841	917.810	980.783	144	1.699	0.022	8.563	19.601	True		
86	-11.075	47441	858	1225.680	1391.963	145	1.703	-0.011	8.566	19.641	True		
86_1	-10.963	44206	812	660.979	1273.497	142	1.695	0.008	8.692	19.655	True		
88	-10.826	39639	763	1068.436	1539.408	147	1.700	0.065	8.815	19.641	True		
88_1	-10.827	41262	761	880.588	1465.821	144	1.698	0.046	8.831	19.658	True		
88_2	-10.865	44825	776	207.581	591.369	144	1.689	0.035	8.880	19.745	True		
89	-10.685	33862	716	1127.922	1241.498	142	1.701	0.046	8.911	19.596	True		
89_1	-10.659	33558	701	804.619	665.684	143	1.698	-0.016	8.980	19.639	True		
89_2	-10.649	34597	703	795.732	1331.879	144	1.697	0.131	8.981	19.630	True		
89_3	-10.769	36558	742	543.448	279.598	143	1.695	0.004	8.965	19.734	True		
89_4	-10.764	35700	740	141.425	1838.798	152	1.686	-0.008	8.981	19.745	True		
89_5	-10.783	38533	745	81.989	1512.616	145	1.686	-0.077	8.955	19.738	True		
90	-10.684	35565	716	1864.319	765.420	148	1.713	0.033	9.018	19.702	True		
90_1	-10.571	29125	677	1787.791	1407.752	146	1.711	0.104	9.094	19.665	True		
90_2	-10.589	30171	682	1033.716	1525.364	147	1.700	0.115	9.029	19.618	True		
90_3	-10.702	40187	722	585.558	487.266	144	1.695	0.025	9.018	19.720	True		
90_4	-10.609	30440	689	342.368	607.850	145	1.691	0.119	9.093	19.702	True		
91	-10.491	29323	652	1456.121	1116.498	142	1.706	0.036	9.127	19.618	True		
91_1	-10.420	29253	633	1031.418	708.321	141	1.701	0.009	9.199	19.619	True		
91_2	-10.555	30880	671	232.420	1576.764	145	1.688	0.055	9.155	19.710	True		
92_1	-10.397	25117	625	1881.030	1404.372	150	1.712	0.399	9.210	19.607	True		
92_2	-10.296	24719	593	1279.019	1379.958	145	1.703	0.071	9.283	19.579	True		
92_3	-10.415	28994	629	1246.365	1557.859	142	1.703	0.040	9.227	19.642	True		
92_4	-10.327	28730	606	819.738	1140.454	143	1.697	0.068	9.286	19.613	True		
92_5	-10.468	28645	646	538.450	666.069	140	1.694	0.030	9.216	19.684	True		
93	-10.300	25432	597	1314.716	1166.950	144	1.704	0.053	9.302	19.602	True		
94	-10.205	22282	571	1871.612	1314.777	148	1.712	0.024	9.465	19.670	True		
94_1	-10.210	26274	573	1712.369	1614.849	146	1.709	0.031	9.491	19.701	True		
94_2	-10.274	26776	591	1265.392	357.473	139	1.705	0.008	9.444	19.718	True		
94_3	-10.013	19236	521	1251.561	1620.820	146	1.703	1.063	9.472	19.485	True		
94_4	-10.029	17828	526	1027.131	1164.114	144	1.700	0.110	9.493	19.522	True		
94_5	-10.296	24549	597	410.861	515.347	141	1.692	-0.007	9.436	19.732	True		
95	-10.105	21166	545	1680.120	1643.670	147	1.709	0.063	9.558	19.663	True		
95_1	-9.949	18886	502	1456.382	1510.039	144	1.706	0.149	9.590	19.539	True		
95_2	-10.063	21193	535	1309.631	1115.891	141	1.704	0.087	9.535	19.598	True		
95_3	-10.082	18771	541	1170.941	719.943	138	1.703	0.035	9.536	19.618	True		
95_4	-10.150	21322	558	734.643	1607.911	140	1.695	0.022	9.525	19.675	True		
95_5	-10.117	18963	548	305.168	548.329	142	1.691	0.039	9.594	19.711	True		
96	-9.997	18504	517	751.066	1775.641	144	1.695	0.144	9.668	19.665	True		
96_1	-9.941	18750	506	628.389	1349.943	140	1.694	0.097	9.695	19.636	True		
96_2	-10.046	20082	530	530.731	1480.996	142	1.693	0.072	9.633	19.679	True		
96_3	-9.944	14915	506	496.337	1169.489	141	1.693	0.137	9.682	19.626	True		
97	-9.973	13448	512	1840.477	111.374	145	1.714	0.024	9.746	19.719	True		
97_1	-9.905	20130	496	1467.648	1244.041	145	1.706	0.091	9.736	19.641	True		
97_2	-9.927	16368	498	882.984	81.016	143	1.700	0.042	9.782	19.709	True		
97_3	-9.841	16851	479	836.838	1290.688	140	1.697	0.100	9.754	19.595	True		
97_4	-9.847	15669	482	601.943	999.845	137	1.694	0.175	9.798	19.645	True		
97_5	-9.892	17084	492	588.222	1524.979	139	1.693	0.074	9.785	19.677	True		
97_6	-9.947	18434	505	283.521	1521.184	140	1.689	0.057	9.768	19.715	True		
98	-9.794	15359	470	1643.734	1572.627	144	1.708	0.127	9.863	19.657	True		
98_1	-9.825	16660	477	1506.801	1618.345	142	1.706	0.124	9.821	19.646	True		
98_2	-9.793	16656	470	1326.629	1527.338	140	1.704	0.097	9.847	19.640	True		
98_3	-9.769	15378	467	1082.732	866.768	137	1.701	0.086	9.824	19.593	True		
98_4	-9.828	17038	478	268.059	1013.885	141	1.690	0.093	9.862	19.690	True		
99_1	-9.502	11054	411	782.941	475.452	136	1.698	1.280	9.962	19.464	True		
99_2	-9.607	12801	431	493.606	1097.840	140	1.693	0.598	9.957	19.564	True		
99_3	-9.702	13776	451	360.948	1408.783	140	1.690	0.060	9.986	19.688	True		
