Primary target: NGC 3532
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-10 23:55:29
JD: 2459437.49686
Decimal date: 2021-08-10.99686
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637643135581759801-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
105	-9.248	8133	361	1406.922	1040.017	141	1.881	0.211	10.804	20.052	True		
105_1	-9.308	11056	373	1117.282	1089.653	139	1.875	0.231	10.761	20.069	True		
105_2	-9.393	11091	388	840.247	481.717	139	1.873	0.182	10.709	20.102	True		
105_3	-9.256	9389	364	722.016	450.730	137	1.871	0.243	10.838	20.094	True		
105_4	-8.867	6595	298	420.361	1646.896	140	1.861	0.891	11.415	20.282	True		
105_5	-9.503	12559	406	138.004	1067.632	138	1.858	0.136	10.653	20.156	True		
105_6	-9.488	10008	405	124.670	1137.953	139	1.858	0.001	10.548	20.036	True		
106	-9.234	9357	361	1777.131	692.732	143	1.889	0.191	10.879	20.113	True		
106_1	-9.267	9076	365	1598.758	1484.784	142	1.883	0.205	10.808	20.075	True		
106_2	-9.233	9215	361	625.446	937.394	138	1.867	0.197	10.852	20.085	True		
107	-8.429	4420	236	1947.834	1818.862	144	1.888	1.222	11.932	20.361	True		
107_1	-9.025	7702	325	1721.885	1436.848	143	1.885	0.370	11.102	20.127	True		
107_2	-9.103	8803	337	1534.570	1370.804	142	1.882	0.235	10.996	20.099	True		
107_3	-9.133	8423	340	924.582	1631.889	141	1.870	0.245	10.950	20.083	True		
107_4	-9.066	7567	332	623.694	1067.891	138	1.867	0.232	10.998	20.064	True		
107_5	-9.307	9444	371	596.641	1392.684	143	1.865	0.027	10.763	20.070	True		
107_6	-8.484	4122	249	550.941	241.051	137	1.869	1.168	11.886	20.370	True		
107_7	-9.052	7565	326	518.604	1588.180	138	1.863	0.357	11.097	20.149	True		
108	-9.003	6677	322	1434.831	491.909	142	1.883	0.224	11.082	20.085	True		
108_1	-8.901	6583	307	1077.499	598.348	138	1.877	0.416	11.242	20.143	True		
108_2	-9.054	7956	332	835.126	438.511	137	1.873	0.206	11.057	20.111	True		
108_3	-8.932	6805	311	684.441	1415.306	140	1.866	0.333	11.168	20.100	True		
108_4	-9.090	7982	335	386.188	986.659	136	1.863	0.209	11.024	20.114	True		
109	-8.422	4960	235	1810.305	1943.340	144	1.885	0.822	11.749	20.171	True		
109_1	-8.404	4359	240	1609.731	553.627	140	1.886	1.011	11.919	20.323	True		
109_2	-8.684	5177	276	1400.859	1617.546	138	1.879	0.517	11.437	20.121	True		
109_3	-8.960	7213	314	1257.589	315.453	141	1.881	0.227	11.159	20.119	True		
109_4	-8.896	6179	303	1201.908	1945.310	140	1.874	0.285	11.216	20.112	True		
109_5	-8.812	5965	292	1126.887	1748.593	139	1.873	0.286	11.272	20.084	True		
109_6	-8.371	4040	233	618.834	148.420	138	1.870	0.946	11.945	20.316	True		
109_7	-8.828	6242	297	534.402	942.081	133	1.866	0.284	11.275	20.103	True		
109_8	-8.498	5153	249	503.120	1620.624	138	1.862	0.888	11.838	20.336	True		
109_9	-8.916	6423	308	290.145	1710.979	139	1.858	0.261	11.223	20.139	True		
79	-11.510	54775	1037	1619.446	1238.965	154	1.884	0.607	8.513	20.023	True		
79_1	-10.916	44239	793	1391.802	1206.333	150	1.880	1.552	9.490	20.406	True		
80	-11.776	56556	1166	1737.110	1343.879	157	1.886	0.004	8.026	19.802	True		
80_1	-11.786	54411	1171	1370.042	738.476	153	1.881	-0.078	7.941	19.727	True		
81	-11.640	54857	1102	1578.744	1353.856	153	1.883	0.025	8.214	19.854	True		
81_1	-11.619	53557	1084	1360.419	1295.865	155	1.879	0.020	8.197	19.816	True		
82	-10.656	30403	704	699.854	828.273	143	1.869	1.512	9.763	20.419	True		
82_1	-11.641	58464	1105	530.217	1738.878	149	1.863	-0.012	8.285	19.926	False		
83	-11.613	60083	1092	1747.594	299.362	151	1.890	0.027	8.386	19.999	False		
83_1	-11.526	53042	1043	1354.036	1059.738	151	1.880	0.004	8.334	19.860	True		
83_2	-11.249	52660	900	1140.926	935.413	145	1.876	0.008	8.355	19.604	True		
83_3	-11.543	55383	1045	549.235	1199.612	150	1.865	0.011	8.374	19.917	True		
84	-11.445	52342	1010	1005.647	1048.860	150	1.874	-0.072	8.405	19.850	True		
84_1	-11.516	56123	1042	916.429	1696.047	154	1.870	-0.003	8.430	19.946	True		
84_2	-11.389	52755	983	888.107	1260.912	150	1.871	0.074	8.545	19.934	True		
84_3	-11.546	57721	1060	345.011	1313.867	152	1.861	-0.009	8.424	19.970	True		
85	-11.350	52786	966	920.612	980.135	146	1.872	0.022	8.585	19.935	True		
86	-11.389	53450	987	1228.619	1391.139	149	1.876	-0.011	8.555	19.944	True		
86_1	-11.300	53769	945	663.729	1272.716	148	1.867	0.008	8.700	20.000	True		
88	-11.163	51967	890	1071.166	1538.648	148	1.873	0.065	8.880	20.043	True		
88_1	-11.163	53691	886	883.606	1464.879	147	1.870	0.046	8.877	20.040	True		
88_2	-11.204	57563	907	210.458	590.714	144	1.861	0.035	8.915	20.119	True		
89	-11.065	49726	853	1130.710	1240.582	147	1.875	0.046	8.957	20.022	True		
89_1	-11.072	49531	842	807.369	664.998	144	1.872	-0.016	8.964	20.036	True		
89_2	-10.948	46098	808	798.624	1331.237	146	1.869	0.131	9.112	20.060	True		
89_3	-11.119	49737	873	546.182	278.975	145	1.868	0.004	8.969	20.088	True		
89_4	-11.145	52862	881	144.529	1838.149	154	1.855	-0.008	8.973	20.118	True		
89_5	-11.221	55782	912	85.017	1511.904	145	1.856	-0.077	8.878	20.099	True		
90	-11.031	46373	837	1866.774	764.670	148	1.890	0.033	9.051	20.082	True		
90_1	-10.910	44210	792	1790.500	1406.865	149	1.886	0.104	9.198	20.108	True		
90_2	-10.922	46307	792	1036.572	1524.448	145	1.872	0.115	9.144	20.066	True		
90_3	-11.051	53679	845	588.198	486.737	141	1.868	0.025	9.043	20.094	True		
90_4	-10.907	40526	789	345.084	607.113	144	1.864	0.119	9.212	20.119	True		
91	-10.864	40596	773	1458.760	1115.636	147	1.881	0.036	9.163	20.027	True		
91_1	-10.800	36978	750	1034.099	707.716	141	1.875	0.009	9.208	20.008	True		
91_2	-10.891	38803	785	235.466	1576.117	146	1.858	0.055	9.210	20.101	True		
92_1	-10.519	27346	661	1883.746	1403.455	148	1.888	0.399	9.609	20.128	True		
92_2	-10.638	32574	697	1281.894	1379.144	147	1.877	0.071	9.354	19.992	True		
92_3	-10.774	35615	742	1249.197	1557.010	149	1.876	0.040	9.267	20.041	True		
92_4	-10.656	34775	704	822.488	1139.664	148	1.870	0.068	9.354	20.010	True		
92_5	-10.838	40734	767	541.163	665.486	143	1.867	0.030	9.246	20.084	True		
93	-10.655	34353	704	1317.559	1166.150	144	1.879	0.053	9.355	20.010	True		
94	-10.566	29103	676	1874.052	1313.956	148	1.888	0.024	9.489	20.055	True		
94_1	-10.535	28579	664	1715.158	1613.956	145	1.884	0.031	9.522	20.057	True		
94_2	-10.612	31937	690	1267.708	356.725	145	1.881	0.008	9.452	20.064	True		
94_3	-9.765	16354	465	1254.480	1619.981	144	1.876	1.063	10.535	20.300	True		
94_4	-10.349	24278	612	1029.855	1163.502	147	1.874	0.110	9.603	19.952	True		
94_5	-10.655	34691	704	413.588	514.745	145	1.865	-0.007	9.429	20.084	True		
95	-10.459	30067	643	1682.920	1642.763	146	1.884	0.063	9.621	20.080	True		
95_1	-10.227	20356	568	1459.066	1509.083	144	1.880	0.149	9.739	19.966	True		
95_2	-10.381	25739	620	1312.505	1114.991	147	1.879	0.087	9.622	20.003	True		
95_3	-10.445	29920	640	1173.546	719.240	141	1.878	0.035	9.571	20.016	True		
95_4	-10.516	27730	662	737.718	1606.951	142	1.867	0.022	9.547	20.063	True		
95_5	-10.458	26599	643	307.870	547.794	140	1.863	0.039	9.633	20.091	True		
96	-10.290	23390	592	754.044	1774.799	146	1.866	0.144	9.812	20.102	True		
96_1	-10.267	22515	588	631.349	1349.162	144	1.866	0.097	9.792	20.059	True		
96_2	-10.365	23329	615	533.726	1480.354	143	1.864	0.072	9.705	20.070	True		
96_3	-10.236	20265	577	499.182	1168.712	144	1.864	0.137	9.819	20.055	True		
97	-10.343	20112	608	1842.798	110.488	150	1.892	0.024	9.770	20.113	True		
97_1	-10.206	23638	572	1470.466	1243.235	146	1.881	0.091	9.827	20.033	True		
97_2	-10.267	22132	588	885.536	80.503	145	1.875	0.042	9.824	20.091	True		
97_3	-10.168	21265	558	839.608	1289.892	146	1.870	0.100	9.854	20.022	True		
97_4	-10.080	18905	536	604.746	999.284	140	1.867	0.175	9.973	20.053	True		
97_5	-10.227	20846	577	591.051	1524.150	141	1.864	0.074	9.859	20.086	True		
97_6	-10.270	22247	588	286.468	1520.537	143	1.859	0.057	9.825	20.095	True		
98	-10.104	21051	544	1646.547	1571.763	144	1.883	0.127	9.990	20.094	True		
98_1	-10.113	20680	548	1509.691	1617.389	141	1.880	0.124	9.945	20.058	True		
98_2	-10.125	21035	551	1329.335	1526.583	143	1.878	0.097	9.944	20.069	True		
98_3	-10.119	22073	549	1085.575	865.881	139	1.876	0.086	9.910	20.029	True		
98_4	-10.119	18328	547	270.862	1013.098	143	1.861	0.093	9.955	20.074	True		
99_1	-9.139	8224	345	785.747	474.739	138	1.872	1.280	11.242	20.381	True		
99_2	-9.641	13502	438	496.507	1097.188	138	1.864	0.598	10.555	20.196	True		
99_3	-10.038	17084	524	364.032	1407.982	140	1.861	0.060	10.046	20.084	True		
