Primary target: NGC 3532
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-10 23:55:29
JD: 2459437.49686
Decimal date: 2021-08-10.99686
R.A.: 11:05:25.84
Dec.: -58:46:52.40
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637643135581759801-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
100	-9.721	13950	451	1722.296	1819.990	145	1.884	0.192	10.282	20.003	True		
100_1	-9.890	15440	492	1552.126	1775.142	144	1.881	0.132	10.181	20.071	True		
100_2	-9.375	8975	384	1493.143	677.175	142	1.884	0.772	10.815	20.190	True		
100_3	-9.903	16527	496	1432.256	523.766	144	1.883	0.116	10.173	20.076	True		
100_4	-9.880	15214	490	1070.214	1898.003	141	1.872	0.113	10.186	20.066	True		
100_5	-9.920	18168	500	601.368	1330.957	143	1.865	0.097	10.159	20.079	True		
100_6	-9.852	15580	485	573.480	1353.791	140	1.865	0.153	10.236	20.088	True		
100_7	-9.917	17193	496	299.187	213.035	142	1.864	0.209	10.210	20.127	True		
101	-9.605	12436	428	1925.757	1968.852	147	1.887	0.232	10.428	20.033	True		
101_1	-9.754	14533	460	1945.725	421.726	149	1.893	0.158	10.353	20.107	True		
101_10	-9.844	14286	479	621.813	1498.047	143	1.865	0.124	10.228	20.072	True		
101_11	-9.831	14575	480	171.437	1244.135	141	1.858	0.103	10.270	20.101	True		
101_12	-10.029	19031	526	89.470	385.669	142	1.860	-0.050	10.056	20.085	True		
101_2	-9.869	14687	488	1854.015	555.268	148	1.891	0.005	10.200	20.069	True		
101_3	-9.820	15427	475	1767.863	845.627	147	1.888	0.100	10.233	20.053	True		
101_4	-9.721	15038	451	1480.549	1466.897	143	1.881	0.159	10.278	19.999	True		
101_5	-9.029	7588	328	1419.120	605.745	141	1.883	1.199	11.321	20.350	True		
101_6	-9.614	12882	431	1315.195	866.532	139	1.880	0.258	10.426	20.040	True		
101_7	-9.625	13695	434	1197.764	354.938	141	1.880	0.232	10.425	20.050	True		
101_8	-9.847	15895	483	1167.822	1782.313	143	1.874	0.126	10.246	20.093	True		
101_9	-9.855	18421	486	1063.474	565.927	142	1.876	0.099	10.224	20.079	True		
102	-9.757	14035	463	1941.739	119.798	150	1.894	0.113	10.352	20.109	True		
102_1	-9.413	10737	392	1559.851	574.759	142	1.885	0.536	10.753	20.166	True		
102_2	-9.661	13450	440	1551.734	1230.849	144	1.883	0.144	10.384	20.045	True		
102_3	-9.641	13368	437	1286.562	235.427	142	1.882	0.158	10.453	20.094	True		
102_5	-9.224	8980	358	1098.251	1405.907	139	1.874	0.654	10.946	20.170	True		
102_6	-9.640	14344	436	777.396	1002.790	142	1.870	0.141	10.410	20.050	True		
102_7	-9.805	15609	472	664.709	95.097	142	1.871	0.080	10.298	20.103	True		
102_8	-9.464	11495	403	563.420	1309.683	139	1.865	0.384	10.679	20.143	True		
102_9	-9.665	13910	440	317.362	1670.822	143	1.859	0.134	10.424	20.089	True		
103_1	-9.569	10913	423	1734.905	542.917	144	1.889	0.165	10.528	20.097	True		
103_3	-9.561	12606	420	1485.323	589.631	143	1.884	0.171	10.536	20.097	True		
103_4	-9.555	12565	418	1391.315	1945.851	141	1.877	0.186	10.582	20.137	True		
103_5	-9.495	12085	408	895.597	1293.233	141	1.871	0.178	10.544	20.039	True		
103_6	-9.585	12686	425	301.788	444.927	142	1.863	0.139	10.537	20.122	True		
103_7	-9.192	9386	350	137.034	1545.613	142	1.856	0.683	11.078	20.270	True		
104	-9.509	12061	409	1185.579	1556.905	141	1.875	0.179	10.579	20.088	True		
104_1	-9.420	11243	393	1091.262	1039.437	140	1.875	0.155	10.594	20.014	True		
