jd,velocity,source
2459305.409,15400,"G. Dimitriadis, et al (UC Santa Cruz)"
2459306.433,14946,Robin Leadbeater {BAA) (my calculation)
2459310.433,12300,Robin Leadbeater {BAA)
2459319.5,9250,"Kevin Gurney {AAVSO, BAA)"
2459323.5,9150,"Kevin Gurney {AAVSO, BAA)"
2459327.5,8500,"Kevin Gurney {AAVSO, BAA)"
2459333.5,7000,"Kevin Gurney {AAVSO, BAA)"
2459345.5,5500,"Kevin Gurney {AAVSO, BAA)"
