Primary target: LMC V0432
Exposure time: 20 s
Filter: B
Observation date/time: 2021-08-09 23:30:43
JD: 2459436.47966
Decimal date: 2021-08-09.97966
R.A.: 11:05:25.84
Dec.: -58:46:52.36
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637642181930157918-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	B-mag	Target estimate	Active		
109_7	-8.725	6081	283	531.223	943.085	134	1.697	0.284	11.275	20.000	True		
109_8	-8.373	4389	235	499.607	1621.328	137	1.696	0.888	11.838	20.211	True		
109_9	-8.820	6337	295	286.597	1711.846	138	1.693	0.261	11.223	20.043	True		
79	-11.443	54920	1012	1616.280	1240.038	149	1.712	0.607	8.513	19.956	True		
79_1	-10.815	45130	760	1388.480	1207.312	150	1.709	1.552	9.490	20.305	True		
80	-11.704	56517	1139	1733.935	1344.760	154	1.714	0.004	8.026	19.730	True		
80_1	-11.719	54470	1148	1366.976	739.429	152	1.710	-0.078	7.941	19.660	True		
81	-11.563	54955	1072	1575.237	1354.877	151	1.712	0.025	8.214	19.777	True		
81_1	-11.545	53615	1058	1356.818	1297.000	152	1.709	0.020	8.197	19.742	True		
82	-10.557	31438	675	696.557	829.120	139	1.700	1.512	9.763	20.320	True		
82_1	-11.575	58769	1078	526.739	1739.869	147	1.696	-0.012	8.285	19.860	False		
83	-11.536	60393	1060	1744.578	300.288	149	1.716	0.027	8.386	19.922	False		
83_1	-11.451	53007	1018	1350.717	1061.010	150	1.709	0.004	8.334	19.785	True		
83_2	-11.174	52109	889	1137.562	936.487	145	1.706	0.008	8.355	19.529	True		
83_3	-11.462	55397	1018	545.808	1200.573	152	1.697	0.011	8.374	19.836	True		
84	-11.387	52523	990	1002.349	1049.828	148	1.704	-0.072	8.405	19.792	True		
84_1	-11.451	56039	1019	912.740	1697.025	147	1.702	-0.003	8.430	19.881	True		
84_2	-11.316	52646	956	884.713	1261.950	146	1.702	0.074	8.545	19.861	True		
84_3	-11.469	57786	1029	341.627	1314.849	149	1.694	-0.009	8.424	19.893	True		
85	-11.265	52768	935	917.351	981.128	147	1.703	0.022	8.585	19.850	True		
86	-11.315	53567	958	1225.079	1392.063	146	1.707	-0.011	8.555	19.870	True		
86_1	-11.217	53314	916	660.534	1273.493	149	1.699	0.008	8.700	19.917	True		
88	-11.085	53297	861	1067.884	1539.445	144	1.704	0.065	8.880	19.965	True		
88_1	-11.073	50362	855	880.109	1465.892	144	1.701	0.046	8.877	19.950	True		
88_2	-11.084	50912	861	207.207	591.802	142	1.693	0.035	8.915	19.999	True		
89	-10.971	48152	819	1127.486	1241.600	145	1.705	0.046	8.957	19.928	True		
89_1	-10.973	45295	812	804.024	666.099	143	1.702	-0.016	8.964	19.937	True		
89_2	-10.838	43714	769	795.297	1332.117	144	1.700	0.131	9.112	19.950	True		
89_3	-11.011	43829	832	543.121	279.994	144	1.699	0.004	8.969	19.980	True		
89_4	-11.045	51374	844	141.081	1838.940	155	1.690	-0.008	8.973	20.018	True		
89_5	-11.123	52629	874	81.706	1512.713	145	1.690	-0.077	8.878	20.001	True		
90	-10.941	44329	807	1863.658	765.805	144	1.717	0.033	9.051	19.992	True		
90_1	-10.803	38573	757	1787.327	1407.901	145	1.715	0.104	9.198	20.001	True		
90_2	-10.849	46568	772	1033.214	1525.330	145	1.704	0.115	9.144	19.993	True		
90_3	-10.910	42291	794	585.067	487.740	143	1.699	0.025	9.043	19.953	True		
90_4	-10.820	38134	761	341.823	608.099	143	1.695	0.119	9.212	20.032	True		
91	-10.756	36275	739	1455.596	1116.714	145	1.710	0.036	9.163	19.919	True		
91_1	-10.700	34269	721	1030.804	708.726	140	1.705	0.009	9.208	19.908	True		
91_2	-10.809	42760	758	232.005	1576.851	144	1.692	0.055	9.210	20.019	True		
92_1	-10.466	30807	647	1880.539	1404.342	145	1.716	0.399	9.609	20.075	True		
92_2	-10.537	29992	668	1278.613	1380.219	144	1.707	0.071	9.354	19.891	True		
92_3	-10.699	36797	720	1245.852	1558.073	142	1.707	0.040	9.267	19.966	True		
92_4	-10.548	34205	673	819.220	1140.637	144	1.701	0.068	9.354	19.902	True		
92_5	-10.758	43460	741	537.916	666.278	141	1.698	0.030	9.246	20.004	True		
93	-10.556	30910	674	1314.186	1167.201	144	1.708	0.053	9.355	19.911	True		
94	-10.469	26427	647	1871.015	1315.065	146	1.716	0.024	9.489	19.958	True		
94_1	-10.439	26146	637	1711.861	1615.058	144	1.713	0.031	9.522	19.961	True		
94_2	-10.518	28256	664	1264.822	357.616	142	1.709	0.008	9.452	19.970	True		
94_3	-9.658	12637	441	1251.069	1621.104	138	1.707	1.063	10.535	20.193	True		
94_4	-10.276	24841	591	1026.568	1164.336	143	1.704	0.110	9.603	19.879	True		
94_5	-10.535	27979	668	410.453	515.747	141	1.696	-0.007	9.429	19.964	True		
95	-10.376	27218	620	1679.555	1643.874	145	1.713	0.063	9.621	19.997	True		
95_1	-10.140	20484	551	1455.796	1510.323	143	1.710	0.149	9.739	19.879	True		
95_2	-10.283	23078	595	1309.304	1116.072	144	1.708	0.087	9.622	19.905	True		
95_3	-10.374	30752	621	1170.484	720.200	139	1.707	0.035	9.571	19.945	True		
95_4	-10.429	31140	636	734.179	1607.936	142	1.699	0.022	9.547	19.976	True		
95_5	-10.348	22388	613	304.606	548.748	143	1.695	0.039	9.633	19.981	True		
96	-10.211	26378	574	750.605	1775.775	142	1.699	0.144	9.812	20.023	True		
96_1	-10.149	19890	559	627.806	1350.103	140	1.698	0.097	9.792	19.941	True		
96_2	-10.282	25516	594	530.479	1481.155	142	1.696	0.072	9.705	19.987	True		
96_3	-10.144	20003	556	495.921	1169.622	142	1.696	0.137	9.819	19.963	True		
97	-10.245	17860	581	1839.843	111.734	146	1.718	0.024	9.770	20.015	True		
97_1	-10.109	20185	546	1467.124	1244.207	144	1.710	0.091	9.827	19.936	True		
97_2	-10.175	22230	565	882.561	81.317	140	1.704	0.042	9.824	19.999	True		
97_3	-10.087	23214	540	836.481	1290.798	143	1.701	0.100	9.854	19.941	True		
97_4	-9.996	19195	515	601.541	1000.207	139	1.698	0.175	9.973	19.969	True		
97_5	-10.102	18678	545	587.719	1525.191	141	1.697	0.074	9.859	19.961	True		
97_6	-10.165	23897	560	283.088	1521.233	142	1.693	0.057	9.825	19.990	True		
98	-9.995	18718	519	1643.282	1572.830	142	1.712	0.127	9.990	19.985	True		
98_1	-10.048	20466	532	1506.239	1618.354	140	1.710	0.124	9.945	19.993	True		
98_2	-10.044	22609	531	1325.919	1527.421	141	1.708	0.097	9.944	19.988	True		
98_3	-10.023	20722	527	1082.404	866.931	139	1.705	0.086	9.910	19.933	True		
98_4	-10.030	17849	527	267.528	1014.110	141	1.693	0.093	9.955	19.985	True		
99_1	-9.046	8079	330	782.661	475.793	136	1.702	1.280	11.242	20.288	True		
99_2	-9.565	13806	424	493.295	1098.119	136	1.697	0.598	10.555	20.120	True		
99_3	-9.930	17124	503	360.612	1408.953	139	1.694	0.060	10.046	19.976	True		
