Primary target: NGC 3532
Exposure time: 20 s
Filter: R
Observation date/time: 2021-08-10 23:53:34
JD: 2459437.49553
Decimal date: 2021-08-10.99553
R.A.: 11:05:25.83
Dec.: -58:46:52.42
Airmass: -
Calibration: BDF
Apeture radius: 4 pixels
File name: 637643135777225184-stacked.fts




Star	IM	Max	SNR	X	Y	Sky	Air	B-V	R-mag	Target estimate	Active		
100	-8.999	8006	322	1723.832	1820.941	131	1.871	0.192	9.988	18.987	True		
100_1	-9.182	9356	351	1553.592	1776.263	132	1.868	0.132	10.011	19.193	True		
100_2	-9.636	14271	438	1494.618	678.234	129	1.871	0.772	9.582	19.218	True		
100_3	-9.135	8226	346	1433.916	524.667	128	1.871	0.116	9.997	19.132	True		
100_4	-9.125	9544	342	1071.701	1899.284	129	1.859	0.113	10.013	19.138	True		
100_5	-9.151	8682	348	602.844	1332.014	126	1.853	0.097	10.000	19.151	True		
100_6	-9.180	9266	352	575.123	1354.896	127	1.852	0.153	9.975	19.155	True		
100_7	-9.402	10696	387	300.805	214.076	131	1.852	0.209	9.807	19.209	True		
101	-9.078	8732	334	1927.169	1970.203	130	1.874	0.232	10.058	19.136	True		
101_1	-9.029	7552	327	1947.300	422.648	125	1.880	0.158	10.088	19.117	True		
101_10	-9.144	9725	344	623.195	1499.261	128	1.853	0.124	10.023	19.167	True		
101_11	-9.091	7553	335	172.923	1245.043	129	1.846	0.103	10.070	19.161	True		
101_12	-9.158	8611	348	90.983	386.635	131	1.847	-0.050	10.058	19.216	True		
101_2	-9.011	7704	326	1855.558	556.158	126	1.878	0.005	10.181	19.192	True		
101_3	-9.090	8841	335	1769.636	846.605	128	1.875	0.100	10.081	19.171	True		
101_4	-8.943	6630	313	1482.096	1468.071	130	1.868	0.159	10.036	18.979	True		
101_5	-9.741	14257	460	1420.682	606.663	131	1.870	1.199	9.466	19.207	True		
101_6	-9.111	8702	341	1316.743	867.326	128	1.867	0.258	10.019	19.130	True		
101_7	-9.039	6802	329	1199.389	355.847	127	1.867	0.232	10.027	19.066	True		
101_8	-9.121	8359	343	1169.385	1783.305	129	1.861	0.126	10.045	19.166	True		
101_9	-9.043	7340	330	1065.058	566.858	129	1.864	0.099	10.065	19.108	True		
102	-9.030	7514	328	1943.351	120.800	126	1.881	0.113	10.153	19.183	True		
102_1	-9.330	11147	380	1561.637	575.708	126	1.873	0.536	9.886	19.216	True		
102_2	-8.951	7498	315	1553.625	1231.901	130	1.870	0.144	10.185	19.136	True		
102_3	-8.972	7301	316	1288.002	236.313	127	1.869	0.158	10.186	19.158	True		
102_5	-9.216	9652	355	1099.836	1406.908	133	1.861	0.654	9.929	19.145	True		
102_6	-8.897	6811	302	778.762	1003.920	137	1.857	0.141	10.197	19.094	True		
102_7	-9.057	7562	329	666.286	95.957	129	1.859	0.080	10.136	19.193	True		
102_8	-9.148	9677	348	564.910	1310.564	129	1.852	0.384	10.031	19.179	True		
102_9	-8.970	7630	313	319.070	1671.899	127	1.847	0.134	10.179	19.149	True		
103_1	-8.908	7494	310	1736.489	543.872	127	1.876	0.165	10.275	19.183	True		
103_3	-8.893	7197	308	1486.906	590.426	128	1.871	0.171	10.257	19.150	True		
103_4	-8.861	6622	301	1392.928	1947.028	129	1.865	0.186	10.308	19.169	True		
103_5	-8.846	6811	299	897.123	1294.199	132	1.858	0.178	10.267	19.113	True		
103_6	-8.962	7616	315	303.183	446.117	128	1.851	0.139	10.268	19.230	True		
103_7	-9.302	10619	370	138.467	1546.697	131	1.844	0.683	9.936	19.238	True		
104	-8.851	7261	294	1187.147	1557.858	131	1.862	0.179	10.306	19.157	True		
104_1	-8.767	6960	285	1092.784	1040.243	131	1.863	0.155	10.328	19.095	True		
105	-8.640	6443	270	1408.434	1041.051	129	1.868	0.211	10.499	19.139	True		
105_1	-8.721	7031	279	1118.892	1090.467	130	1.863	0.231	10.402	19.123	True		
105_2	-8.769	6178	288	841.752	482.467	127	1.860	0.182	10.397	19.166	True		
105_3	-8.767	6523	288	723.645	451.621	127	1.858	0.243	10.417	19.184	True		
105_4	-9.199	8242	352	421.797	1647.896	129	1.849	0.891	9.994	19.193	True		
105_5	-8.812	6708	292	139.617	1068.544	126	1.846	0.136	10.402	19.214	True		
105_6	-8.623	5629	265	126.453	1138.955	129	1.845	0.001	10.484	19.107	True		
106	-8.609	5405	267	1778.800	693.648	124	1.876	0.191	10.577	19.186	True		
106_1	-8.676	6385	275	1600.455	1485.909	128	1.870	0.205	10.511	19.187	True		
106_2	-8.631	5570	270	626.863	938.336	126	1.855	0.197	10.518	19.149	True		
107	-9.116	8117	338	1949.331	1819.891	132	1.875	1.222	10.082	19.198	True		
107_1	-8.656	5206	273	1723.722	1437.827	128	1.872	0.370	10.520	19.176	True		
107_2	-8.492	4770	250	1536.082	1371.661	128	1.869	0.235	10.646	19.138	True		
107_3	-8.528	5000	248	926.306	1632.965	131	1.858	0.245	10.548	19.076	True		
107_4	-8.531	5455	255	625.205	1068.820	126	1.854	0.232	10.595	19.126	True		
107_5	-8.565	5680	257	598.151	1393.791	128	1.853	0.027	10.644	19.209	True		
107_6	-9.200	8913	356	552.448	242.090	129	1.856	1.168	10.059	19.259	True		
107_7	-8.682	5394	272	519.896	1589.134	125	1.851	0.357	10.504	19.186	True		
108	-8.419	4039	244	1436.396	492.828	124	1.871	0.224	10.719	19.138	True		
