2455415.622,19.05,0.054,WGR
2455421.464,19.31,0.09,BGU
2455446.886,19.345,0.031,GFB
2455447.904,19.455,0.016,GFB
2455449.859,19.438,0.027,GFB
2455450.851,19.7,0.25,WGR
2455450.914,19.417,0.025,GFB
2455451.757,19.67,0.47,WGR
2455451.891,19.464,0.009,GFB
2455453.909,19.764,0.034,GFB
2455454.896,19.67,0.034,GFB
2455455.9,19.678,0.042,GFB
2455458.851,19.059,0.027,GFB
2455460.893,18.557,0.025,GFB
2455462.887,18.638,0.015,GFB
2455464.877,18.759,0.039,GFB
2455465.881,18.917,0.041,GFB
2455467.876,18.86,0.03,GFB
2455468.845,19.003,0.033,GFB
2455469.795,18.789,0.041,GFB
2455472.587,18.75,0.18,WGR
2455477.788,19.292,0.015,GFB
2455478.784,19.106,0.007,GFB
2455479.829,19.347,0.022,GFB
2455480.787,19.312,0.011,GFB
2455481.794,19.455,0.019,GFB
2455482.794,19.445,0.004,GFB
2455482.836,19.225,0.205,SRIC
2455483.787,19.394,0.199,SRIC
2455483.804,19.5,0.01,GFB
2455484.799,19.609,0.011,GFB
2455485.784,19.504,0.234,SRIC
2455485.786,19.569,0.014,GFB
2455487.776,19.41,0.252,SRIC
2455489.771,19.115,0.122,SRIC
2455489.777,19.419,0.051,GFB
2455490.768,18.974,0.154,SRIC
2455490.776,19.543,0.009,GFB
2455491.83,18.547,0.116,SRIC
2455501.751,18.918,0.025,GFB
2455502.756,19.026,0.023,GFB
2455525.492,18.023,0.313,WGR
2455560.594,18.85,0.19,HBB
2455823.86,19.773,0.037,GFB
2455824.859,19.326,0.046,GFB
2455826.915,19.464,0.012,GFB
2455827.917,19.359,0.013,GFB
2455828.9,19.862,0.013,GFB
2455831.88,19.805,0.014,GFB
2455832.879,19.649,0.027,GFB
2456085.873,19.084,0.145,SRIC
2456091.94,18.848,0.022,GFB
2456093.941,18.986,0.02,GFB
2456094.937,19.063,0.042,GFB
2456096.942,19.134,0.026,GFB
2456097.938,18.947,0.027,GFB
2456098.941,19.239,0.031,GFB
2456099.939,19.004,0.027,GFB
2456100.937,19.107,0.025,GFB
2456102.938,19.175,0.017,GFB
2456103.937,19.221,0.02,GFB
2456104.937,19.384,0.049,GFB
2456112.919,20.072,0.034,GFB
2456113.919,19.88,0.042,GFB
2456115.919,19.849,0.021,GFB
2456122.964,18.595,0.032,GFB
2456129.96,19.119,0.018,GFB
2456130.965,19.033,0.027,GFB
2456132.94,18.994,0.08,GFB
2456145.957,19.585,0.02,GFB
2456146.959,19.834,0.03,GFB
2456160.776,18.358,0.14,SSTB
2456161.79,18.38,0.005,SSTB
2456163.749,18.317,0.003,SSTB
2456166.949,19.316,0.165,GFB
2456167.935,19.184,0.137,GFB
2456171.937,19.936,0.033,GFB
2456172.714,19.709,0.022,GFB
2456173.718,19.753,0.033,GFB
2456174.691,19.762,0.042,GFB
2456175.691,19.8,0.036,GFB
2456177.719,19.807,0.024,GFB
2456178.707,19.959,0.026,GFB
2456179.707,19.823,0.027,GFB
2456184.7,18.647,0.039,GFB
2456185.702,18.728,0.023,GFB
2456186.701,18.808,0.036,GFB
2456188.712,18.863,0.022,GFB
2456189.702,18.82,0.043,GFB
2456190.691,18.852,0.031,GFB
2456191.692,18.85,0.02,GFB
2456201.696,19.449,0.051,GFB
2456202.685,19.634,0.036,GFB
2456203.692,19.542,0.041,GFB
2456207.678,19.593,0.025,GFB
2456208.677,19.675,0.028,GFB
2456210.674,19.631,0.026,GFB
2456215.671,18.537,0.018,GFB
2456216.691,19.255,0.183,GFB
2456218.69,19.767,0.418,GFB
2456219.683,18.789,0.162,GFB
2456220.694,18.791,0.163,GFB
2456221.669,18.726,0.179,GFB
2456226.666,19.008,0.166,GFB
2456229.675,19.36,0.283,GFB
2456235.665,19.594,0.33,GFB
2456236.649,19.517,0.308,GFB
2456237.651,19.473,0.274,GFB
2456243.702,18.988,0.161,GFB
2456244.665,18.792,0.156,GFB
2456245.65,18.609,0.119,GFB
2456246.649,18.482,0.102,GFB
2456254.653,18.761,0.186,GFB
2456255.645,19.035,0.2,GFB
2456256.655,18.977,0.228,GFB
2456257.636,19.242,0.29,GFB
2456506.896,18.732,0.017,SSTB
2456507.901,18.756,0.016,SSTB
2456517.83,19.171,0.053,ACAB
2456518.799,19.204,0.03,ACAB
2456520.865,19.123,0.009,SSTB
2456521.943,19.23,0.054,ACAB
2456522.894,19.043,0.044,ACAB
2456532.83,18.73,0.051,SSTB
2456593.64,18.401,0.06,UIS01
2456593.64,18.418,0.05,UIS01
2456604.66,19.013,0.07,UIS01
2456604.66,19.02,0.069,UIS01
2456818.869,18.665,0.248,HBB
2456930.61,19.596,0.152,UIS01
2456930.61,19.617,0.145,UIS01
2457299.867,19.893,0.405,HBB
2457307.69,19.498,0.1,UIS01
2457307.69,19.51,0.093,UIS01
2457578.938,19.169,0.137,GFB
2457586.953,19.371,0.158,GFB
2457598.94,18.469,0.062,GFB
2457599.941,18.43,0.067,GFB
2457600.937,18.516,0.08,GFB
2457601.942,18.716,0.087,GFB
2457603.859,18.791,0.087,GFB
2457604.861,18.613,0.074,GFB
2457605.871,18.814,0.124,GFB
2457606.873,19.002,0.1,GFB
2457607.852,18.853,0.089,GFB
2457608.852,19.035,0.105,GFB
2457609.852,19.002,0.104,GFB
2457610.919,19.169,0.122,GFB
2457611.919,19.255,0.135,GFB
2457612.92,19.245,0.138,GFB
2457613.923,18.984,0.107,GFB
