wavelength,flux,error
2.3905,506.5,3.46
2.39062,506.07,3.46
2.39075,505.43,3.45
2.39087,504.57,3.45
2.391,503.62,3.45
2.39112,502.66,3.45
2.39125,501.83,3.45
2.39137,501.21,3.45
2.3915,500.84,3.45
2.39162,500.74,3.45
2.39175,500.92,3.45
2.39188,501.3,3.45
2.392,501.86,3.44
2.39212,502.49,3.44
2.39225,503.19,3.44
2.39237,503.95,3.44
2.3925,504.73,3.44
2.39262,505.59,3.44
2.39275,506.48,3.44
2.39287,507.45,3.44
2.393,508.45,3.44
2.39312,509.43,3.44
2.39325,510.37,3.44
2.39337,511.11,3.44
2.3935,511.61,3.44
2.39363,511.82,3.44
2.39375,511.7,3.44
2.39387,511.32,3.44
2.394,510.75,3.44
2.39412,510.07,3.44
2.39425,509.39,3.44
2.39437,508.78,3.44
2.3945,508.28,3.44
2.39462,507.96,3.44
2.39475,507.84,3.44
2.39488,507.95,3.44
2.395,508.28,3.44
2.39512,508.8,3.44
2.39525,509.52,3.44
2.39538,510.46,3.44
2.3955,511.54,3.44
2.39562,512.74,3.44
2.39575,513.97,3.44
2.39587,515.15,3.44
2.396,516.2,3.44
2.39612,516.96,3.44
2.39625,517.43,3.44
2.39637,517.53,3.44
2.3965,517.27,3.44
2.39663,516.68,3.44
2.39675,515.8,3.44
2.39687,514.69,3.44
2.397,513.49,3.44
2.39713,512.25,3.44
2.39725,511.13,3.44
2.39737,510.19,3.44
2.3975,509.56,3.45
2.39762,509.34,3.45
2.39775,509.57,3.45
2.39787,510.24,3.45
2.398,511.23,3.45
2.39812,512.49,3.45
2.39825,513.82,3.45
2.39838,515.04,3.45
2.3985,516.05,3.45
2.39862,516.75,3.46
2.39875,517.15,3.46
2.39887,517.27,3.46
2.399,517.17,3.46
2.39912,516.93,3.46
2.39925,516.63,3.46
2.39937,516.27,3.46
2.3995,515.93,3.46
2.39962,515.61,3.47
2.39975,515.3,3.47
2.39987,515.03,3.47
2.4,514.74,3.47
2.40013,514.43,3.47
2.40025,514.15,3.47
2.40037,513.91,3.47
2.4005,513.75,3.48
2.40062,513.78,3.48
2.40075,513.96,3.48
2.40087,514.33,3.48
2.401,514.89,3.48
2.40112,515.59,3.48
2.40125,516.42,3.49
2.40137,517.32,3.49
2.4015,518.27,3.49
2.40162,519.19,3.49
2.40175,520.1,3.49
2.40188,520.94,3.49
2.402,521.69,3.51
2.40212,522.38,3.51
2.40225,522.97,3.51
2.40237,523.48,3.51
2.4025,523.91,3.51
2.40262,524.25,3.52
2.40275,524.56,3.52
2.40287,524.82,3.52
2.403,525.02,3.52
2.40313,525.21,3.52
2.40325,525.35,3.53
2.40337,525.44,3.53
2.4035,525.48,3.53
2.40363,525.44,3.53
2.40375,525.36,3.53
2.40387,525.23,3.54
2.404,525.05,3.54
2.40412,524.89,3.54
2.40425,524.82,3.54
2.40437,524.85,3.54
2.4045,525.04,3.55
2.40462,525.47,3.55
2.40475,526.16,3.55
2.40488,527.09,3.55
2.405,528.24,3.55
2.40512,529.53,3.56
2.40525,530.81,3.56
2.40538,532,3.56
2.4055,533,3.56
2.40562,533.74,3.56
2.40575,534.2,3.57
2.40587,534.42,3.57
2.406,534.41,3.57
2.40612,534.19,3.57
2.40625,533.86,3.59
2.40637,533.46,3.59
2.4065,533.02,3.59
2.40663,532.56,3.59
2.40675,532.11,3.59
2.40687,531.69,3.6
2.407,531.3,3.6
2.40712,530.97,3.6
2.40725,530.71,3.6
2.40737,530.54,3.61
2.4075,530.43,3.61
2.40762,530.41,3.61
2.40775,530.47,3.61
2.40787,530.57,3.61
2.408,530.69,3.62
2.40812,530.81,3.62
2.40825,530.95,3.62
2.40838,531.08,3.62
2.4085,531.23,3.63
2.40862,531.41,3.63
2.40875,531.66,3.63
2.40887,532,3.63
2.409,532.39,3.63
2.40912,532.83,3.64
2.40925,533.31,3.64
2.40937,533.76,3.64
2.4095,534.15,3.64
2.40963,534.46,3.65
2.40975,534.66,3.65
2.40987,534.77,3.65
2.41,534.9,3.65
2.41013,535.04,3.65
2.41025,535.24,3.66
2.41037,535.58,3.66
2.4105,536.06,3.66
2.41062,536.67,3.66
2.41075,537.39,3.68
2.41087,538.17,3.68
2.411,538.98,3.68
2.41112,539.78,3.68
2.41125,540.45,3.68
2.41138,541,3.69
2.4115,541.37,3.69
2.41162,541.49,3.69
2.41175,541.33,3.69
2.41188,540.84,3.69
2.412,540.04,3.7
2.41212,538.95,3.7
2.41225,537.65,3.7
2.41237,536.25,3.7
2.4125,534.84,3.7
2.41262,533.57,3.71
2.41275,532.56,3.71
2.41287,531.85,3.71
2.413,531.47,3.71
2.41313,531.39,3.72
2.41325,531.59,3.72
2.41337,532.02,3.72
2.4135,532.57,3.72
2.41363,533.22,3.72
2.41375,533.89,3.72
2.41387,534.53,3.73
2.414,535.14,3.73
2.41412,535.68,3.73
2.41425,536.16,3.73
2.41437,536.58,3.73
2.4145,536.96,3.74
2.41462,537.34,3.74
2.41475,537.73,3.74
2.41488,538.13,3.74
2.415,538.56,3.74
2.41512,539,3.75
2.41525,539.43,3.75
2.41537,539.87,3.75
2.4155,540.24,3.75
2.41562,540.57,3.75
2.41575,540.84,3.75
2.41587,541.05,3.77
2.416,541.19,3.77
2.41612,541.32,3.77
2.41625,541.48,3.77
2.41637,541.66,3.77
2.4165,541.92,3.78
2.41663,542.3,3.78
2.41675,542.78,3.78
2.41687,543.36,3.78
2.417,544.03,3.78
2.41712,544.74,3.78
2.41725,545.43,3.79
2.41737,546.07,3.79
2.4175,546.66,3.79
2.41762,547.14,3.79
2.41775,547.54,3.79
2.41787,547.83,3.79
2.418,548.05,3.8
2.41812,548.14,3.8
2.41825,548.15,3.8
2.41838,548.05,3.8
2.4185,547.85,3.8
2.41862,547.56,3.8
2.41875,547.24,3.8
2.41887,546.87,3.81
2.419,546.53,3.81
2.41912,546.24,3.81
2.41925,546.03,3.81
2.41937,545.9,3.81
2.4195,545.87,3.81
2.41963,545.93,3.81
2.41975,546.07,3.82
2.41987,546.25,3.82
2.42,546.47,3.82
2.42013,546.77,3.82
2.42025,547.13,3.82
2.42037,547.56,3.82
2.4205,548.07,3.82
2.42062,548.66,3.83
2.42075,549.28,3.83
2.42087,549.93,3.83
2.421,550.59,3.83
2.42112,551.18,3.83
2.42125,551.63,3.83
2.42138,551.97,3.83
2.4215,552.16,3.83
2.42162,552.21,3.85
2.42175,552.11,3.85
2.42188,551.93,3.85
2.422,551.7,3.85
2.42212,551.45,3.85
2.42225,551.2,3.85
2.42237,550.94,3.85
2.4225,550.65,3.85
2.42262,550.31,3.86
2.42275,549.9,3.86
2.42287,549.39,3.86
2.423,548.8,3.86
2.42313,548.19,3.86
2.42325,547.59,3.86
2.42337,547.07,3.86
2.4235,546.69,3.86
2.42362,546.56,3.86
2.42375,546.68,3.86
2.42387,547.07,3.87
2.424,547.73,3.87
2.42412,548.59,3.87
2.42425,549.56,3.87
2.42438,550.55,3.87
2.4245,551.46,3.87
2.42462,552.25,3.87
2.42475,552.89,3.87
2.42488,553.34,3.87
2.425,553.63,3.87
2.42512,553.76,3.88
2.42525,553.77,3.88
2.42537,553.68,3.88
2.4255,553.53,3.88
2.42562,553.4,3.88
2.42575,553.24,3.88
2.42587,553.16,3.88
2.426,553.18,3.88
2.42613,553.35,3.88
2.42625,553.69,3.88
2.42637,554.21,3.88
2.4265,554.88,3.88
2.42663,555.7,3.88
2.42675,556.59,3.88
2.42687,557.49,3.89
2.427,558.38,3.89
2.42712,559.23,3.89
2.42725,559.99,3.89
2.42737,560.68,3.89
2.4275,561.27,3.89
2.42762,561.75,3.89
2.42775,562.13,3.89
2.42788,562.42,3.89
2.428,562.59,3.89
2.42812,562.65,3.89
2.42825,562.62,3.89
2.42838,562.49,3.89
2.4285,562.27,3.89
2.42862,561.95,3.89
2.42875,561.51,3.89
2.42887,560.95,3.89
2.429,560.29,3.89
2.42912,559.55,3.89
2.42925,558.76,3.89
2.42937,557.95,3.9
