wavelength,flux,error
4.14975,8934.77,121.16
4.15,8930.92,121.18
4.15025,8926.88,121.19
4.1505,8922.97,121.21
4.15075,8919.65,121.22
4.151,8917.36,121.24
4.15125,8916.1,121.27
4.1515,8916.37,121.28
4.15175,8917.73,121.3
4.152,8920.31,121.32
4.15225,8923.44,121.33
4.1525,8927.44,121.35
4.15275,8931.43,121.36
4.153,8935.17,121.39
4.15325,8938.4,121.41
4.1535,8941.22,121.42
4.15375,8943.12,121.44
4.154,8944.25,121.45
4.15425,8944.92,121.47
4.1545,8944.99,121.5
4.15475,8945.26,121.52
4.155,8945.55,121.53
4.15525,8945.86,121.55
4.1555,8945.94,121.57
4.15575,8945.91,121.58
4.156,8945.86,121.61
4.15625,8945.55,121.62
4.1565,8944.69,121.64
4.15675,8944.05,121.66
4.157,8943.26,121.67
4.15725,8943.33,121.69
4.1575,8943.57,121.72
4.15775,8944.54,121.73
4.158,8946.19,121.75
4.15825,8948.68,121.77
4.1585,8952.15,121.78
4.15875,8956.38,121.8
4.159,8961.17,121.83
4.15925,8966.38,121.84
4.1595,8971.94,121.86
4.15975,8977.35,121.88
4.16,8983.39,121.89
4.16025,8988.17,121.91
4.1605,8991.69,121.92
4.16075,8994.43,121.95
4.161,8995.67,121.97
4.16125,8995.79,121.98
4.1615,8994.97,122
4.16175,8993.51,122.01
4.162,8991.72,122.03
4.16225,8990.55,122.06
4.1625,8990.26,122.07
4.16275,8990.7,122.09
4.163,8992.55,122.1
4.16325,8995.05,122.12
4.1635,8998.03,122.14
4.16375,9000.86,122.15
4.164,9003.08,122.18
4.16425,9004.89,122.19
4.1645,9005.53,122.21
4.16475,9005.62,122.22
4.165,9004.46,122.24
4.16525,9002.68,122.26
4.1655,9001.11,122.27
4.16575,8999.84,122.3
4.166,8999.36,122.31
4.16625,8999.49,122.33
4.1665,9000.78,122.34
4.16675,9003.58,122.36
4.167,9007.46,122.37
4.16725,9012.67,122.4
4.1675,9019.05,122.41
4.16775,9026.17,122.43
4.168,9033.46,122.44
4.16825,9041.41,122.46
4.1685,9049.26,122.47
4.16875,9056.48,122.49
4.169,9063.43,122.51
4.16925,9070.14,122.53
4.1695,9076.59,122.54
4.16975,9083.39,122.55
4.17,9089.87,122.57
4.17025,9096.79,122.58
4.1705,9103.51,122.6
4.17075,9110.06,122.61
4.171,9116.68,122.64
4.17125,9123.01,122.65
4.1715,9129.05,122.66
4.17175,9135.12,122.68
4.172,9140.41,122.69
4.17225,9145.45,122.71
4.1725,9150.28,122.72
4.17275,9154.83,122.74
4.173,9160.01,122.76
4.17325,9165.57,122.77
4.1735,9172.16,122.78
4.17375,9180.24,122.79
4.174,9190.3,122.81
4.17425,9202.23,122.82
4.1745,9215.82,122.83
4.17475,9230.36,122.86
4.175,9245.41,122.87
4.17525,9259.84,122.88
4.1755,9272.66,122.89
4.17575,9283.75,122.91
4.176,9292.65,122.92
4.17625,9298.65,122.93
4.1765,9301.98,122.94
4.17675,9303.19,122.97
4.177,9301.89,122.98
4.17725,9299.03,122.99
4.1775,9295.27,123
4.17775,9291.42,123.01
4.178,9288.39,123.02
4.17825,9287.03,123.04
4.1785,9287.99,123.05
4.17875,9291.43,123.06
4.179,9297.08,123.08
4.17925,9304.39,123.09
4.1795,9312.96,123.1
4.17975,9321.15,123.12
4.18,9328.5,123.13
4.18025,9334.45,123.14
4.1805,9338.53,123.15
4.18075,9340.72,123.16
4.181,9341.8,123.17
4.18125,9341.84,123.18
4.1815,9341.87,123.2
4.18175,9342.15,123.22
4.182,9343.54,123.23
4.18225,9346.3,123.24
4.1825,9350.41,123.25
4.18275,9355.95,123.26
4.183,9362.41,123.27
4.18325,9369.27,123.28
4.1835,9375.98,123.29
4.18375,9381.66,123.31
4.184,9386.03,123.32
4.18425,9388.61,123.33
4.1845,9389.11,123.34
4.18475,9387.65,123.35
4.185,9384.49,123.36
4.18525,9380.11,123.37
4.1855,9375.2,123.38
4.18575,9370.09,123.39
4.186,9365.44,123.4
4.18625,9361.73,123.42
4.1865,9359.03,123.43
4.18675,9357.71,123.44
4.187,9357.72,123.45
4.18725,9359.02,123.46
4.1875,9361.35,123.47
4.18775,9364.44,123.48
4.188,9368.49,123.48
4.18825,9372.81,123.49
4.1885,9377.46,123.5
4.18875,9382.43,123.51
4.189,9387.56,123.52
4.18925,9392.87,123.54
4.1895,9398.13,123.55
4.18975,9403.39,123.56
4.19,9408.19,123.57
4.19025,9412.89,123.58
4.1905,9416.97,123.59
4.19075,9420.22,123.59
4.191,9422.49,123.6
4.19125,9423.47,123.61
4.1915,9423.19,123.62
4.19175,9421.01,123.63
4.192,9417.45,123.65
4.19225,9412.64,123.66
4.1925,9407.42,123.67
4.19275,9402.33,123.68
4.193,9397.86,123.69
4.19325,9394.83,123.69
4.1935,9393.75,123.7
4.19375,9395.03,123.71
4.194,9398.7,123.72
4.19425,9404.17,123.73
4.1945,9411.1,123.74
4.19475,9418.71,123.76
4.195,9426.2,123.76
4.19525,9432.94,123.77
4.1955,9438.37,123.78
4.19575,9442.08,123.79
4.196,9443.63,123.79
4.19625,9443.16,123.8
4.1965,9440.74,123.81
4.19675,9437.17,123.83
4.197,9432.6,123.83
4.19725,9428.24,123.84
4.1975,9424.64,123.85
4.19775,9422.7,123.86
4.198,9422.99,123.88
4.19825,9424.68,123.88
4.1985,9428.51,123.89
4.19875,9433.72,123.9
4.199,9439.32,123.91
4.19925,9444.65,123.92
4.1995,9448.66,123.92
4.19975,9451.04,123.93
4.2,9451.15,123.94
4.20025,9449.12,123.95
4.2005,9445.56,123.95
4.20075,9440.22,123.96
4.201,9434.44,123.97
4.20125,9428.27,123.99
4.2015,9422.95,124
4.20175,9418.78,124.01
4.202,9416.59,124.02
4.20225,9416.33,124.02
4.2025,9418.82,124.03
4.20275,9423.29,124.04
4.203,9429.72,124.05
4.20325,9437.08,124.05
4.2035,9444.53,124.06
4.20375,9451.78,124.07
4.204,9457.64,124.08
4.20425,9461.41,124.1
4.2045,9462.51,124.1
4.20475,9461.74,124.11
4.205,9459.18,124.12
4.20525,9454.95,124.13
4.2055,9449.77,124.13
4.20575,9444.3,124.14
4.206,9439.32,124.15
4.20625,9435.05,124.16
4.2065,9431.25,124.17
4.20675,9428.83,124.18
4.207,9427.25,124.18
4.20725,9426.93,124.19
4.2075,9426.69,124.2
4.20775,9426.89,124.22
4.208,9427.33,124.22
4.20825,9427.8,124.23
4.2085,9428.23,124.24
4.20875,9428.35,124.25
4.209,9428.95,124.25
4.20925,9429.6,124.26
4.2095,9430.17,124.27
4.20975,9431.05,124.28
4.21,9432.04,124.28
4.21025,9432.83,124.29
4.2105,9433.51,124.3
4.21075,9434.16,124.31
4.211,9434.15,124.33
4.21125,9433.59,124.34
4.2115,9432.92,124.34
4.21175,9431.39,124.35
4.212,9430.32,124.36
4.21225,9428.63,124.36
4.2125,9427.72,124.37
4.21275,9427.7,124.38
4.213,9429.41,124.39
4.21325,9432.81,124.39
4.2135,9438.59,124.4
4.21375,9445.73,124.41
4.214,9454.46,124.42
4.21425,9464.05,124.42
4.2145,9473.72,124.44
4.21475,9482.89,124.45
4.215,9490.97,124.45
4.21525,9497.7,124.46
4.2155,9502.74,124.47
4.21575,9506.1,124.48
4.216,9507.72,124.49
4.21625,9508.19,124.49
4.2165,9507.7,124.5
4.21675,9507.14,124.51
4.217,9506.36,124.52
4.21725,9506.71,124.52
4.2175,9508.61,124.53
4.21775,9512.18,124.54
4.218,9517.51,124.56
4.21825,9524.75,124.56
4.2185,9532.86,124.57
4.21875,9541.58,124.58
4.219,9549.69,124.58
4.21925,9556.48,124.59
4.2195,9561.3,124.6
4.21975,9564.04,124.61
4.22,9564.34,124.61
4.22025,9562.72,124.62
4.2205,9559.43,124.63
4.22075,9555.14,124.64
4.221,9550.47,124.65
4.22125,9546.37,124.65
4.2215,9543.26,124.67
4.22175,9541.55,124.68
4.222,9541.5,124.69
4.22225,9542.86,124.7
4.2225,9545.83,124.7
4.22275,9549.58,124.71
4.223,9553.78,124.72
4.22325,9558.32,124.73
4.2235,9562.29,124.73
4.22375,9565.61,124.74
4.224,9568.05,124.75
4.22425,9569.72,124.76
4.2245,9570.88,124.78
4.22475,9571.98,124.79
4.225,9573.15,124.8
4.22525,9575.09,124.81
4.2255,9577.7,124.81
4.22575,9581.47,124.82
4.226,9586.39,124.83
4.22625,9592.17,124.84
4.2265,9598.65,124.85
4.22675,9605.53,124.86
4.227,9612.01,124.87
4.22725,9618.11,124.88
4.2275,9623.12,124.9
4.22775,9627.16,124.91
4.228,9629.85,124.92
4.22825,9631.68,124.93
4.2285,9632.36,124.94
4.22875,9631.85,124.95
4.229,9631.2,124.96
4.22925,9630.47,124.97
4.2295,9630.12,124.98
4.22975,9629.78,124.99
4.23,9629.61,125.01
4.23025,9629.41,125.02
4.2305,9628.96,125.03
4.23075,9628.19,125.05
4.231,9626.76,125.06
4.23125,9624.71,125.07
4.2315,9622.36,125.08
4.23175,9619.95,125.09
4.232,9617.8,125.11
4.23225,9616.13,125.13
4.2325,9615.33,125.15
4.23275,9615.06,125.16
4.233,9616.06,125.17
4.23325,9617.66,125.18
4.2335,9620.25,125.2
4.23375,9623.06,125.21
4.234,9626.31,125.22
4.23425,9629.81,125.25
4.2345,9633.6,125.27
4.23475,9637.35,125.28
4.235,9641.02,125.3
4.23525,9644.59,125.31
4.2355,9647.77,125.33
4.23575,9651.05,125.35
4.236,9653.97,125.37
4.23625,9656.86,125.38
4.2365,9660.3,125.41
4.23675,9664.11,125.42
4.237,9669.01,125.44
4.23725,9674.62,125.47
4.2375,9681,125.48
4.23775,9688.06,125.5
4.238,9694.73,125.52
4.23825,9701.01,125.54
4.2385,9704.8,125.55
4.23875,9707.09,125.58
4.239,9707.22,125.61
4.23925,9704.35,125.63
4.2395,9699.64,125.65
4.23975,9693.03,125.67
4.24,9685.3,125.7
4.24025,9676.55,125.72
4.2405,9667.82,125.74
4.24075,9658.85,125.76
4.241,9651.13,125.78
4.24125,9644.96,125.82
4.2415,9640.47,125.84
4.24175,9637.97,125.86
4.242,9637.61,125.88
4.24225,9639.18,125.92
4.2425,9642.24,125.94
4.24275,9646.55,125.97
4.243,9651.79,125.99
4.24325,9656.56,126.03
4.2435,9661.51,126.05
4.24375,9665.04,126.08
4.244,9667.43,126.11
4.24425,9668.12,126.13
4.2445,9667.49,126.17
4.24475,9665.24,126.2
4.245,9661.79,126.22
4.24525,9657.75,126.26
4.2455,9653.61,126.29
4.24575,9650.17,126.32
4.246,9648.24,126.35
4.24625,9647.62,126.39
4.2465,9648.79,126.42
4.24675,9651.52,126.45
4.247,9655.95,126.49
4.24725,9661.13,126.52
4.2475,9666.46,126.55
4.24775,9671.08,126.58
4.248,9674.29,126.62
4.24825,9675.99,126.66
4.2485,9676.24,126.69
4.24875,9675.35,126.74
4.249,9673.72,126.77
4.24925,9671.96,126.8
4.2495,9670.64,126.85
4.24975,9670.49,126.88
4.25,9671.31,126.92
4.25025,9673.77,126.96
4.2505,9676.7,127
4.25075,9680.55,127.03
4.251,9685.12,127.08
4.25125,9689.17,127.12
4.2515,9692.62,127.15
4.25175,9695.39,127.2
4.252,9696.99,127.24
4.25225,9697.28,127.29
4.2525,9696.24,127.33
4.25275,9694.04,127.36
4.253,9691.47,127.42
4.25325,9688.15,127.46
4.2535,9684.96,127.51
4.25375,9682.18,127.55
4.254,9680.4,127.59
4.25425,9679.8,127.64
4.2545,9681.07,127.68
4.25475,9683.7,127.72
4.255,9687.77,127.77
4.25525,9693.48,127.82
4.2555,9700.14,127.87
4.25575,9706.89,127.91
4.256,9713.54,127.97
4.25625,9719.69,128.01
4.2565,9724.97,128.05
4.25675,9729.38,128.11
4.257,9732.73,128.15
4.25725,9735.46,128.21
4.2575,9737.18,128.25
4.25775,9738.13,128.31
4.258,9738.77,128.35
4.25825,9739.03,128.4
4.2585,9739.44,128.46
4.25875,9739.75,128.5
4.259,9740.48,128.56
4.25925,9741.87,128.6
4.2595,9743.87,128.66
4.25975,9746.6,128.71
4.26,9749.77,128.77
4.26025,9752.98,128.81
4.2605,9756.2,128.87
4.26075,9758.33,128.92
4.261,9759.64,128.98
4.26125,9760.04,129.02
4.2615,9759.49,129.07
4.26175,9758.56,129.13
4.262,9758.12,129.18
4.26225,9758.45,129.24
4.2625,9760.11,129.29
4.26275,9763.1,129.35
4.263,9767.86,129.4
4.26325,9773.71,129.46
4.2635,9780.16,129.51
4.26375,9786.58,129.57
4.264,9792.71,129.62
4.26425,9797.79,129.68
4.2645,9801.98,129.73
4.26475,9805.48,129.79
4.265,9808.1,129.84
4.26525,9810.54,129.9
4.2655,9812.29,129.95
4.26575,9814.26,130.01
4.266,9816.19,130.06
4.26625,9817.76,130.12
4.2665,9818.69,130.17
4.26675,9819.04,130.23
4.267,9817.5,130.28
4.26725,9814.72,130.35
4.2675,9810.69,130.4
4.26775,9804.83,130.46
4.268,9797.94,130.51
4.26825,9790.83,130.57
4.2685,9783.35,130.62
4.26875,9775.89,130.67
4.269,9769.19,130.73
4.26925,9763.26,130.78
4.2695,9758.59,130.84
4.26975,9755.11,130.89
4.27,9753.75,130.95
4.27025,9753.97,131
4.2705,9756.65,131.06
4.27075,9761.04,131.11
4.271,9766.95,131.17
4.27125,9774.1,131.22
4.2715,9781.9,131.28
4.27175,9789.78,131.33
4.272,9796.8,131.39
4.27225,9802.22,131.44
4.2725,9805.87,131.5
4.27275,9807.41,131.55
4.273,9807.19,131.61
4.27325,9804.68,131.66
4.2735,9800.88,131.72
4.27375,9796.5,131.77
4.274,9791.76,131.82
4.27425,9787.74,131.88
4.2745,9784.83,131.93
4.27475,9783.63,131.98
4.275,9784.55,132.03
4.27525,9788.07,132.08
4.2755,9793.49,132.13
4.27575,9801.07,132.19
4.276,9810.72,132.24
4.27625,9821.42,132.29
4.2765,9832.46,132.35
4.27675,9843.99,132.4
4.277,9855.01,132.45
4.27725,9865.43,132.51
4.2775,9874.99,132.55
4.27775,9883.09,132.61
4.278,9889.68,132.65
4.27825,9894.92,132.7
4.2785,9899,132.75
4.27875,9901.88,132.8
4.279,9904.07,132.85
4.27925,9905.93,132.9
4.2795,9907.72,132.94
4.27975,9909.21,132.99
4.28,9910.82,133.04
4.28025,9912.53,133.09
4.2805,9914.42,133.13
4.28075,9915.98,133.19
4.281,9917.54,133.23
4.28125,9918.71,133.28
4.2815,9920.21,133.33
4.28175,9920.86,133.37
4.282,9921.48,133.42
4.28225,9922.28,133.46
4.2825,9923.2,133.5
4.28275,9924.29,133.55
4.283,9925.75,133.6
4.28325,9927.85,133.65
4.2835,9931.1,133.69
4.28375,9935.31,133.73
4.284,9940.56,133.78
4.28425,9946.89,133.82
4.2845,9954.54,133.87
4.28475,9962.89,133.9
4.285,9971.7,133.94
4.28525,9980.34,133.99
4.2855,9988.2,134.03
4.28575,9995.04,134.07
4.286,10000.4,134.12
4.28625,10004.5,134.16
4.2865,10006.4,134.21
4.28675,10007,134.24
4.287,10005.6,134.28
4.28725,10003.4,134.32
4.2875,10000,134.36
4.28775,9996.11,134.4
4.288,9990.89,134.44
4.28825,9985.16,134.48
4.2885,9978.98,134.52
4.28875,9972.55,134.56
4.289,9966.04,134.59
4.28925,9959.7,134.63
4.2895,9953.86,134.67
4.28975,9949.25,134.71
4.29,9946.25,134.74
4.29025,9944.82,134.78
4.2905,9945.35,134.81
4.29075,9948.37,134.86
4.291,9953.52,134.9
4.29125,9960.63,134.93
4.2915,9969.27,134.97
4.29175,9978.66,135.01
4.292,9988.14,135.04
4.29225,9996.49,135.07
4.2925,10003.5,135.11
4.29275,10008.2,135.15
4.293,10010.5,135.18
4.29325,10010.4,135.22
4.2935,10007.7,135.25
4.29375,10002.8,135.28
4.294,9996.65,135.31
4.29425,9989.55,135.36
4.2945,9983.17,135.39
4.29475,9976.97,135.42
4.295,9972.63,135.46
4.29525,9970.52,135.5
4.2955,9970.73,135.53
4.29575,9973.01,135.57
4.296,9977.16,135.6
4.29625,9982.69,135.63
4.2965,9988.77,135.66
4.29675,9994.93,135.7
4.297,10000.8,135.73
4.29725,10006.2,135.76
4.2975,10010.9,135.8
4.29775,10015.3,135.83
4.298,10019.5,135.86
4.29825,10023.8,135.89
4.2985,10028.2,135.93
4.29875,10033.4,135.96
4.299,10038.7,135.99
4.29925,10045,136.03
4.2995,10051.1,136.06
4.29975,10057.8,136.09
4.3,10064.9,136.13
4.30025,10072,136.16
4.3005,10078.8,136.19
4.30075,10085.3,136.22
4.301,10090.4,136.26
4.30125,10094.2,136.29
4.3015,10095.9,136.32
4.30175,10094.9,136.36
4.302,10091.3,136.39
4.30225,10084.9,136.42
4.3025,10075.8,136.45
4.30275,10064.6,136.49
4.303,10051.9,136.52
4.30325,10038.2,136.55
4.3035,10024.6,136.59
4.30375,10011.3,136.62
4.304,9999.52,136.65
4.30425,9989.44,136.7
4.3045,9981.54,136.73
4.30475,9976,136.76
4.305,9973.16,136.79
4.30525,9972.8,136.83
4.3055,9975.06,136.86
4.30575,9979.27,136.89
4.306,9985.98,136.94
4.30625,9993.9,136.97
4.3065,10002.2,137
4.30675,10010.5,137.04
4.307,10017.4,137.08
4.30725,10022.7,137.11
4.3075,10025.6,137.15
4.30775,10026,137.19
4.308,10023.8,137.22
4.30825,10019.2,137.25
4.3085,10013,137.3
4.30875,10006.4,137.33
4.309,10000.4,137.36
4.30925,9995.14,137.41
4.3095,9991.3,137.44
4.30975,9989.59,137.49
4.31,9989.44,137.52
4.31025,9991.19,137.56
4.3105,9994.45,137.59
4.31075,9999.01,137.64
4.311,10004.6,137.68
4.31125,10010.8,137.72
4.3115,10017.3,137.76
4.31175,10023.5,137.8
4.312,10029.3,137.85
4.31225,10034.5,137.88
4.3125,10038.9,137.92
4.31275,10042.5,137.97
4.313,10045.3,138.01
4.31325,10047.7,138.04
4.3135,10049.6,138.09
4.31375,10051.4,138.13
4.314,10053.6,138.18
4.31425,10056.2,138.22
4.3145,10059.8,138.26
4.31475,10064.7,138.31
4.315,10070.8,138.35
4.31525,10078.5,138.4
4.3155,10087.5,138.44
4.31575,10097.3,138.48
4.316,10108.1,138.53
4.31625,10119,138.57
4.3165,10130.1,138.63
4.31675,10141,138.68
4.317,10151.8,138.72
4.31725,10162.4,138.77
4.3175,10172.8,138.81
4.31775,10182.7,138.87
4.318,10192.3,138.91
4.31825,10201,138.95
4.3185,10208.4,139.01
4.31875,10215,139.05
4.319,10219.9,139.11
4.31925,10223.3,139.15
4.3195,10225.5,139.21
4.31975,10226.5,139.25
4.32,10226.8,139.31
4.32025,10226.7,139.36
4.3205,10226.6,139.4
4.32075,10226.8,139.46
4.321,10227.5,139.51
4.32125,10228.8,139.57
4.3215,10230.6,139.62
4.32175,10233.3,139.68
4.322,10236.2,139.73
4.32225,10239.1,139.78
4.3225,10241.5,139.83
4.32275,10243.5,139.89
4.323,10244.6,139.94
4.32325,10244.6,140
4.3235,10243.4,140.05
4.32375,10241,140.11
4.324,10237.6,140.16
4.32425,10233.7,140.22
4.3245,10229.5,140.28
4.32475,10225.6,140.34
4.325,10222.7,140.39
4.32525,10220.5,140.45
4.3255,10220.1,140.5
4.32575,10222,140.56
4.326,10225.6,140.62
4.32625,10231,140.69
4.3265,10238,140.74
4.32675,10246.3,140.8
4.327,10255.5,140.86
4.32725,10265.3,140.92
4.3275,10275.1,140.97
4.32775,10284.5,141.04
4.328,10293.3,141.09
4.32825,10300.9,141.16
4.3285,10306.9,141.21
4.32875,10311.8,141.28
4.329,10315.3,141.33
4.32925,10317.5,141.4
4.3295,10318.5,141.45
4.32975,10318.6,141.52
4.33,10318.1,141.58
4.33025,10317.1,141.64
4.3305,10316.5,141.71
4.33075,10315.6,141.77
4.331,10315.4,141.83
4.33125,10316.4,141.89
4.3315,10318.3,141.96
4.33175,10321.2,142.01
4.332,10325,142.08
4.33225,10329.7,142.13
4.3325,10334.5,142.2
4.33275,10338.9,142.27
4.333,10343,142.33
4.33325,10345.9,142.4
4.3335,10347.5,142.45
4.33375,10347.7,142.52
4.334,10346.8,142.58
4.33425,10344.8,142.64
4.3345,10342,142.71
4.33475,10339.3,142.77
4.335,10336.2,142.83
4.33525,10333.5,142.9
4.3355,10331.4,142.96
4.33575,10330,143.02
4.336,10329.3,143.09
4.33625,10329.5,143.14
4.3365,10329.9,143.21
4.33675,10330.9,143.28
4.337,10332.4,143.33
4.33725,10334.3,143.4
4.3375,10336.5,143.46
4.33775,10339.7,143.53
4.338,10343,143.59
4.33825,10347.6,143.65
4.3385,10352.5,143.71
4.33875,10358.4,143.78
4.339,10365.4,143.83
4.33925,10373.3,143.9
4.3395,10382.2,143.96
4.33975,10391.7,144.02
4.34,10401.2,144.09
4.34025,10410.5,144.15
4.3405,10418.9,144.21
4.34075,10426.3,144.27
4.341,10432.1,144.33
4.34125,10436.3,144.39
4.3415,10439.1,144.45
4.34175,10439.9,144.5
4.342,10439.5,144.57
4.34225,10438.3,144.64
4.3425,10436.8,144.69
4.34275,10434.8,144.76
4.343,10432.6,144.81
4.34325,10431.1,144.87
4.3435,10430.5,144.92
4.34375,10430.5,144.99
4.344,10431.1,145.04
4.34425,10432.3,145.1
4.3445,10434.3,145.15
4.34475,10436,145.22
4.345,10437.8,145.27
4.34525,10439.7,145.33
4.3455,10441.2,145.38
4.34575,10442.5,145.44
4.346,10443.3,145.49
4.34625,10444.2,145.55
4.3465,10445.7,145.6
4.34675,10447.4,145.65
4.347,10449.9,145.71
4.34725,10452.6,145.76
4.3475,10456.1,145.82
4.34775,10460.3,145.87
4.348,10464.7,145.92
4.34825,10469.3,145.97
4.3485,10473.5,146.03
4.34875,10477.1,146.07
4.349,10479.6,146.13
4.34925,10481.1,146.17
4.3495,10480.9,146.23
4.34975,10479,146.27
4.35,10474.5,146.32
4.35025,10469.3,146.37
4.3505,10463,146.41
4.35075,10455.2,146.47
4.351,10447.1,146.51
4.35125,10438.9,146.55
4.3515,10431.9,146.6
4.35175,10425.6,146.65
4.352,10419.9,146.7
4.35225,10416.1,146.74
4.3525,10413.8,146.78
4.35275,10413.3,146.83
4.353,10413.8,146.87
4.35325,10415.7,146.92
4.3535,10418.7,146.96
4.35375,10422.7,147
4.354,10427.3,147.05
4.35425,10432,147.09
4.3545,10437.2,147.12
4.35475,10442.2,147.17
4.355,10446.5,147.2
4.35525,10450.3,147.25
4.3555,10453.8,147.28
4.35575,10456.7,147.32
4.356,10459.3,147.35
4.35625,10461.7,147.4
4.3565,10464.5,147.44
4.35675,10468,147.48
4.357,10472.1,147.51
4.35725,10477.2,147.54
4.3575,10484.3,147.59
4.35775,10492,147.62
4.358,10501.6,147.65
4.35825,10512.6,147.68
4.3585,10525.1,147.72
4.35875,10538.4,147.75
4.359,10552,147.78
4.35925,10565.2,147.82
4.3595,10577.3,147.85
4.35975,10588.5,147.87
4.36,10597.2,147.9
4.36025,10604.4,147.94
4.3605,10609.7,147.96
4.36075,10613.6,147.99
4.361,10616.9,148.02
4.36125,10618.9,148.06
4.3615,10620.4,148.08
4.36175,10622.4,148.11
4.362,10624,148.13
4.36225,10626.3,148.16
4.3625,10629.6,148.19
4.36275,10633.7,148.21
4.363,10639,148.23
4.36325,10645.6,148.26
4.3635,10653.3,148.29
4.36375,10661.8,148.32
4.364,10671,148.34
4.36425,10680,148.36
4.3645,10688.3,148.39
4.36475,10695.9,148.41
4.365,10702,148.43
4.36525,10706.3,148.45
4.3655,10709,148.47
4.36575,10709.7,148.5
4.366,10708.1,148.52
4.36625,10704.7,148.54
4.3665,10700.1,148.56
4.36675,10693.2,148.58
4.367,10685.8,148.6
4.36725,10678.1,148.63
4.3675,10670.6,148.64
4.36775,10663.8,148.66
4.368,10658.1,148.68
4.36825,10653.6,148.7
4.3685,10650.6,148.73
4.36875,10648.3,148.75
4.369,10647.5,148.76
4.36925,10647.5,148.78
4.3695,10648.4,148.8
4.36975,10650,148.81
4.37,10651.8,148.84
4.37025,10654,148.86
4.3705,10656.2,148.87
4.37075,10658,148.89
4.371,10659.3,148.9
4.37125,10659.7,148.92
4.3715,10659.2,148.94
4.37175,10657.3,148.96
4.372,10654.3,148.98
4.37225,10651.3,148.99
4.3725,10647.9,149.01
4.37275,10645.2,149.03
4.373,10643.8,149.05
4.37325,10644.3,149.07
4.3735,10647.1,149.09
4.37375,10652.2,149.1
4.374,10659.5,149.12
4.37425,10668.1,149.14
4.3745,10677.9,149.15
4.37475,10688,149.18
4.375,10697.4,149.19
4.37525,10705.9,149.21
4.3755,10712.7,149.23
4.37575,10717.9,149.24
4.376,10720.8,149.26
4.37625,10722,149.28
4.3765,10721.3,149.3
4.37675,10719.7,149.32
4.377,10717.6,149.34
4.37725,10715.6,149.35
4.3775,10714.9,149.38
4.37775,10715.8,149.39
4.378,10719,149.42
4.37825,10724.5,149.44
4.3785,10732.3,149.46
4.37875,10741.8,149.48
4.379,10752.8,149.49
4.37925,10763.8,149.52
4.3795,10774.4,149.54
4.37975,10783.6,149.56
4.38,10791.5,149.58
4.38025,10797.3,149.6
4.3805,10801.2,149.62
4.38075,10803,149.65
4.381,10803.6,149.67
4.38125,10802.4,149.69
4.3815,10800.7,149.71
4.38175,10798.5,149.73
4.382,10796.6,149.76
4.38225,10795.4,149.79
4.3825,10795,149.82
4.38275,10795.2,149.84
4.383,10796.3,149.87
4.38325,10798,149.89
4.3835,10799.6,149.92
4.38375,10801,149.94
4.384,10802.5,149.96
4.38425,10803.5,150
4.3845,10804,150.02
4.38475,10804.3,150.05
4.385,10804.7,150.09
4.38525,10805.6,150.11
4.3855,10807,150.14
4.38575,10809.5,150.16
4.386,10812.8,150.2
4.38625,10817,150.23
4.3865,10821.4,150.26
4.38675,10826.2,150.28
4.387,10830.5,150.33
4.38725,10834.2,150.36
4.3875,10836.3,150.39
4.38775,10836.9,150.41
4.388,10835.5,150.45
4.38825,10832.4,150.48
4.3885,10827.5,150.51
4.38875,10821.7,150.56
4.389,10815.4,150.59
4.38925,10809.4,150.62
4.3895,10804.2,150.67
4.38975,10800.3,150.7
4.39,10798.4,150.73
4.39025,10798.8,150.78
4.3905,10801.6,150.81
4.39075,10806.1,150.84
4.391,10812.3,150.89
4.39125,10819,150.92
4.3915,10826.1,150.96
4.39175,10831.7,151.01
4.392,10835.5,151.04
4.39225,10836.7,151.08
4.3925,10835.6,151.13
4.39275,10831.9,151.16
4.393,10826.4,151.2
4.39325,10819.3,151.25
4.3935,10811.5,151.29
4.39375,10803.7,151.34
4.394,10797.1,151.38
4.39425,10791.4,151.42
4.3945,10787.6,151.47
4.39475,10785.4,151.51
4.395,10785.3,151.55
4.39525,10786.5,151.6
4.3955,10788.4,151.64
4.39575,10791,151.69
4.396,10793,151.74
4.39625,10793.9,151.79
4.3965,10793.7,151.84
4.39675,10792.2,151.88
4.397,10789.5,151.93
4.39725,10786.1,151.97
4.3975,10782.4,152.03
4.39775,10779.4,152.07
4.398,10777.2,152.11
4.39825,10776.5,152.17
4.3985,10777.3,152.21
4.39875,10779.6,152.27
4.399,10783.1,152.32
4.39925,10787.8,152.37
4.3995,10793,152.42
4.39975,10799,152.47
4.4,10804.6,152.52
4.40025,10810.1,152.57
4.4005,10814.9,152.62
4.40075,10818.9,152.67
4.401,10822.6,152.73
4.40125,10824.6,152.78
4.4015,10826,152.83
4.40175,10826.6,152.88
4.402,10827,152.94
4.40225,10827.3,152.98
4.4025,10828.6,153.04
4.40275,10829.7,153.09
4.403,10831.7,153.14
4.40325,10833.6,153.19
4.4035,10835.4,153.25
4.40375,10836.9,153.31
4.404,10837.9,153.35
4.40425,10838.4,153.41
4.4045,10838.7,153.46
4.40475,10838.5,153.52
4.405,10838.5,153.56
4.40525,10839.4,153.62
4.4055,10840.9,153.67
4.40575,10843,153.74
4.406,10846,153.78
4.40625,10849.2,153.84
