2452996.711,13.973,0.004
2453028.695,13.829,0.004
2453331.764,13.49,0.004
2453341.769,13.061,0.004
2453352.725,13.518,0.004
2453357.661,13.703,0.004
2453362.735,13.92,0.004
2453365.67,13.979,0.004
2453370.702,12.896,0.004
2453375.721,12.947,0.004
2453381.681,13.18,0.004
2453389.639,13.512,0.004
2453397.686,13.847,0.004
2453719.701,13.465,0.004
2453722.786,13.586,0.004
2453727.724,13.787,0.004
2453737.618,13.253,0.004
2453746.629,13.064,0.004
2453753.63,13.341,0.004
2453760.653,13.609,0.004
2453771.63,13.949,0.004
2454064.697,13.977,0.004
2454073.677,12.891,0.004
2454082.719,13.237,0.004
2454093.716,13.667,0.004
2454112.665,12.962,0.004
2454120.685,13.282,0.004
2454393.83,13.911,0.004
2454403.786,12.816,0.004
2454411.809,13.159,0.004
2454417.802,13.385,0.004
2454431.796,13.936,0.004
2454441.763,12.847,0.004
2454458.718,13.548,0.004
2454466.694,13.872,0.004
2454473.656,13.538,0.004
2454481.813,12.995,0.004
2454487.784,13.237,0.004
