l Car,146.31152,-62.5079,497.51,49.5
zet Gem,106.02718,20.5703,359.71,23.29
bet Dor,83.40636,-62.4897,318.47,16.23
W Sgr,271.25512,-29.5801,438.6,38.47
X Sgr,266.89009,-27.8309,333.33,20
Y Sgr,275.34575,-18.8601,469.48,63.92
del Cep,337.29297,58.4152,273.22,11.2
FF Aql,284.56145,17.3609,355.87,22.8
T Vul,312.86769,28.2505,526.32,63.71
RT Aur,97.14206,30.4929,416.67,32.99
