2022 02 06.520506,14 15 47.39,+08 23 50.9,20.22 G,G96 – Mt. Lemmon Survey,MPS 1552406,
2022 02 27.422630,14 45 07.79,+09 09 14.4,19.51 r,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 02 27.443222,14 45 09.31,+09 09 19.4,19.62 G,703 – Catalina Sky Survey,MPS 1561633,
2022 02 27.453764,14 45 10.05,+09 09 21.3,19.23 G,703 – Catalina Sky Survey,MPS 1561633,
2022 02 27.459030,14 45 10.57,+09 09 22.8, ,703 – Catalina Sky Survey,MPS 1561633,
2022 02 27.462500,14 45 10.78,+09 09 24.2,19.49 i,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 02 28.495785,14 46 30.919,+09 13 32.86,19.45 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1561633,
2022 02 28.520138,14 46 32.712,+09 13 38.90,19.50 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1561633,
2022 02 28.532302,14 46 33.608,+09 13 41.96,19.56 w,"F52 – Pan-STARRS 2, Haleakala",MPS 1561633,
2022 03 01.401810,14 47 40.20,+09 17 16.4,20.05 g,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 03 01.421200,14 47 41.53,+09 17 21.5,19.52 G,G96 – Mt. Lemmon Survey,MPS 1561633,
2022 03 01.426336,14 47 41.90,+09 17 22.8,19.65 G,G96 – Mt. Lemmon Survey,MPS 1561633,
2022 03 01.431470,14 47 42.28,+09 17 24.0,19.58 G,G96 – Mt. Lemmon Survey,MPS 1561633,
2022 03 01.436612,14 47 42.66,+09 17 25.4,19.63 G,G96 – Mt. Lemmon Survey,MPS 1561633,
2022 03 01.482120,14 47 46.01,+09 17 36.9,19.49 r,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 03 01.483090,14 47 46.08,+09 17 37.0,19.50 r,I41 – Palomar Mountain--ZTF,MPS 1561633,
2022 03 04.572847,14 51 37.37,+09 31 31.2,19.31 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1561633,
2022 03 04.605927,14 51 39.65,+09 31 40.3,19.20 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1561633,
2022 03 04.610163,14 51 39.91,+09 31 42.0,18.99 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1561633,
2022 03 04.619894,14 51 40.63,+09 31 44.6,19.36 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1561633,
2022 03 05.438935,14 52 40.60,+09 35 38.0,20.30 G,703 – Catalina Sky Survey,MPS 1561633,
2022 03 05.444135,14 52 40.95,+09 35 39.8,19.80 G,703 – Catalina Sky Survey,MPS 1561633,
2022 03 05.449334,14 52 41.38,+09 35 41.2,19.56 G,703 – Catalina Sky Survey,MPS 1561633,
2022 03 09.455134,14 57 25.33,+09 56 25.0,18.90 G,703 – Catalina Sky Survey,MPEC E165,
2022 03 09.465620,14 57 26.08,+09 56 28.3,19.11 G,703 – Catalina Sky Survey,MPEC E165,
2022 03 09.470863,14 57 26.33,+09 56 29.5,19.35 G,703 – Catalina Sky Survey,MPEC E165,
2022 03 12.566458,15 00 55.49,+10 14 09.5,19.11 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC E204,
2022 03 12.568347,15 00 55.59,+10 14 11.2,18.88 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC E204,
2022 03 12.592259,15 00 57.10,+10 14 19.8,18.77 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC E204,
2022 03 12.620739,15 00 58.79,+10 14 29.7,18.73 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC E204,
2022 03 13.411008,15 01 50.93,+10 19 09.6,19.09 G,703 – Catalina Sky Survey,MPEC E210,
2022 03 13.416335,15 01 51.23,+10 19 11.5,18.88 G,703 – Catalina Sky Survey,MPEC E210,
2022 03 13.421661,15 01 51.59,+10 19 13.4,19.17 G,703 – Catalina Sky Survey,MPEC E210,
2022 03 13.426991,15 01 51.93,+10 19 15.8,19.33 G,703 – Catalina Sky Survey,MPEC E210,
2022 03 23.496165,15 11 49.66,+11 26 03.1,18.37 G,703 – Catalina Sky Survey,MPEC F33,
2022 03 23.497733,15 11 49.81,+11 26 04.0,18.54 G,G96 – Mt. Lemmon Survey,MPEC F33,
2022 03 23.502874,15 11 50.06,+11 26 05.2, ,G96 – Mt. Lemmon Survey,MPEC F33,
2022 03 23.506694,15 11 50.15,+11 26 07.8,18.50 G,703 – Catalina Sky Survey,MPEC F33,
2022 03 23.508033,15 11 50.31,+11 26 08.3,18.49 G,G96 – Mt. Lemmon Survey,MPEC F33,
2022 03 23.511959,15 11 50.49,+11 26 10.9, ,703 – Catalina Sky Survey,MPEC F33,
2022 03 23.513188,15 11 50.55,+11 26 10.6,18.65 G,G96 – Mt. Lemmon Survey,MPEC F33,
2022 03 24.464114,15 12 40.83,+11 33 03.1,18.49 G,703 – Catalina Sky Survey,MPEC F51,
2022 03 24.469429,15 12 41.03,+11 33 05.4,18.52 G,703 – Catalina Sky Survey,MPEC F51,
2022 03 24.474746,15 12 41.24,+11 33 07.3,18.42 G,703 – Catalina Sky Survey,MPEC F51,
2022 03 24.480058,15 12 41.49,+11 33 10.1,18.63 G,703 – Catalina Sky Survey,MPEC F51,
2022 03 26.485772,15 14 22.63,+11 47 53.1,18.05 G,703 – Catalina Sky Survey,MPS 1582872,
2022 03 26.491095,15 14 22.86,+11 47 55.2,18.29 G,703 – Catalina Sky Survey,MPS 1582872,
2022 03 26.496398,15 14 23.11,+11 47 58.0,18.32 G,703 – Catalina Sky Survey,MPS 1582872,
2022 03 26.501703,15 14 23.32,+11 48 00.6,18.36 G,703 – Catalina Sky Survey,MPS 1582872,
2022 04 06.04567,15 21 31.83,+13 07 54.3,17.1 R,B66 – Osservatorio di Casasco,MPS 1582872,
2022 04 06.07662,15 21 32.60,+13 08 08.5,17.1 R,B66 – Osservatorio di Casasco,MPS 1582872,
2022 04 07.418840,15 22 13.250,+13 18 11.02,17.29 i,I41 – Palomar Mountain--ZTF,MPS 1582872,
2022 04 07.446120,15 22 13.841,+13 18 23.11,17.37 r,I41 – Palomar Mountain--ZTF,MPS 1582872,
2022 04 08.475312,15 22 43.313,+13 26 00.92,17.68 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 08.477597,15 22 43.366,+13 26 02.00,17.78 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 08.501906,15 22 43.802,+13 26 12.80,17.59 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 08.505105,15 22 43.865,+13 26 14.35,17.52 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 09.354030,15 23 06.389,+13 32 18.10,17.91 g,I41 – Palomar Mountain--ZTF,MPS 1582872,
2022 04 09.395750,15 23 07.130,+13 32 36.38,17.28 r,I41 – Palomar Mountain--ZTF,MPS 1582872,
2022 04 11.448711,15 23 55.402,+13 47 08.12,17.22 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1582872,
2022 04 11.450544,15 23 55.445,+13 47 09.20,17.02 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1582872,
2022 04 11.453738,15 23 55.483,+13 47 10.03,17.09 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1582872,
2022 04 11.463498,15 23 55.625,+13 47 14.14,17.56 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 11.465334,15 23 55.603,+13 47 14.82,17.44 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 11.471327,15 23 55.728,+13 47 17.27,17.39 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 11.478189,15 23 55.793,+13 47 20.69,17.44 c,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 11.522968,15 23 56.326,+13 47 39.08,16.97 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1582872,
2022 04 13.283495,15 24 31.180,+13 59 21.59,17.26 G,G96 – Mt. Lemmon Survey,MPS 1582872,
2022 04 13.288586,15 24 31.230,+13 59 23.60,17.23 G,G96 – Mt. Lemmon Survey,MPS 1582872,
2022 04 13.293674,15 24 31.288,+13 59 25.76,17.25 G,G96 – Mt. Lemmon Survey,MPS 1582872,
2022 04 13.298773,15 24 31.342,+13 59 27.78,17.17 G,G96 – Mt. Lemmon Survey,MPS 1582872,
2022 04 13.524949,15 24 34.402,+14 01 01.81,16.84 o,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 13.528219,15 24 34.428,+14 01 03.00,16.89 o,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 13.557547,15 24 34.637,+14 01 14.38,17.13 o,"T05 – ATLAS-HKO, Haleakala",MPS 1582872,
2022 04 14.412986,15 24 49.646,+14 06 41.69,16.84 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 14.416176,15 24 49.646,+14 06 42.88,16.90 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 14.424065,15 24 49.721,+14 06 46.19,16.73 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 14.458514,15 24 49.910,+14 06 59.44,16.86 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 15.380380,15 25 03.432,+14 12 38.81,17.00 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 15.382687,15 25 03.458,+14 12 39.42,16.95 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 15.388160,15 25 03.487,+14 12 41.76,16.92 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 15.395483,15 25 03.516,+14 12 44.28,17.00 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 15.444919,15 25 03.754,+14 13 02.96,16.91 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 15.446748,15 25 03.766,+14 13 03.47,16.90 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 15.449949,15 25 03.768,+14 13 04.80,17.06 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 15.454973,15 25 03.794,+14 13 06.60,16.94 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 16.98216,15 25 20.62,+14 21 47.5,16.4 G,C23 – Olmen,MPS 1589001,
2022 04 16.98591,15 25 20.62,+14 21 48.5,16.6 G,C23 – Olmen,MPS 1589001,
2022 04 16.98890,15 25 20.63,+14 21 49.0,16.7 G,C23 – Olmen,MPS 1589001,
