"epoch.mjd","a","e","i","om","w","ma","epoch","q","tp","n_obs_used"
57446,4.899,0.6403,11.18,175.30,153.84,237.03,2457446.5,1.762,2458799.42,1669
57495,3.889,0.4137,22.04,104.85,343.67,223.07,2457495.5,2.280,2458560.92,44
56593,3.674,0.4537,6.60,119.27,2.02,309.91,2456593.5,2.007,2456951.37,1738
57259,3.134,0.4953,9.45,59.54,208.98,240.09,2457259.5,1.582,2457934.62,1447
56981,4.336,0.8192,9.17,36.11,337.86,14.34,2456981.5,0.784,2456850.14,44
57800,3.091,0.6855,11.24,69.66,199.39,354.77,2457800.5,0.972,2457829.34,1320
56168,4.166,0.1476,6.65,77.08,86.61,130.89,2456168.5,3.551,2455039.23,5782
49520,3.543,0.4963,5.91,269.69,175.80,358.09,2449520.5,1.785,2449533.40,81
55618,3.471,0.5384,30.47,84.11,0.05,237.75,2455618.5,1.602,2456420.55,1152
55529,3.601,0.3578,24.40,14.91,196.83,73.41,2455529.5,2.313,2455020.57,1855
56987,3.736,0.4616,6.25,210.56,192.76,143.14,2456987.5,2.012,2455938.60,5573
54391,3.031,0.5941,2.89,307.84,253.27,318.28,2454391.5,1.231,2454614.91,215
51849,4.044,0.5967,29.87,259.90,338.64,98.56,2451849.5,1.631,2451036.37,56
56063,3.451,0.5371,3.24,136.10,41.73,125.07,2456063.5,1.597,2455249.96,4460
52484,4.135,0.1233,1.13,239.59,227.50,38.99,2452484.5,3.626,2452151.79,143
46240,3.338,0.5172,22.66,230.84,0.38,358.19,2446240.5,1.612,2446251.73,20
55894,3.641,0.4945,7.28,112.39,276.40,274.58,2455894.5,1.840,2456496.57,1745
54252,5.185,0.7812,4.30,359.40,37.62,313.19,2454252.5,1.135,2454813.25,51
56060,3.616,0.3687,15.48,72.45,178.67,208.47,2456060.5,2.283,2457117.52,17
57467,3.441,0.3893,2.60,181.89,24.76,126.79,2457467.5,2.101,2456646.40,667
57474,3.109,0.5631,4.38,56.70,235.89,63.98,2457474.5,1.358,2457118.72,3508
57560,3.751,0.4080,12.08,41.45,250.14,336.03,2457560.5,2.221,2457737.17,188
57800,6.069,0.5098,9.64,13.25,29.27,351.87,2457800.5,2.975,2457923.78,572
54575,3.89,0.3302,14.09,247.90,354.87,131.90,2454575.5,2.606,2453548.59,337
57375,5.358,0.6593,19.44,181.46,163.79,23.27,2457375.5,1.825,2457082.68,919
57800,4.389,0.6127,12.20,339.63,74.90,358.56,2457800.5,1.700,2457813.95,3382
55519,3.517,0.3630,6.18,70.91,92.81,35.03,2455519.5,2.240,2455285.15,1528
54773,3.033,0.9592,58.54,94.35,14.75,107.74,2454773.5,0.124,2454196.16,963
57799,4.8,0.4569,17.86,185.17,228.23,188.30,2457799.5,2.607,2459631.40,376
55915,3.806,0.5606,10.55,114.75,157.95,281.08,2455915.5,1.672,2456509.98,558
56005,6.147,0.2279,4.33,28.20,174.44,121.58,2456005.5,4.746,2454125.70,1147
55693,3.412,0.4182,25.66,37.82,181.87,81.58,2455693.5,1.985,2455171.77,444
56914,5.781,0.5980,5.03,116.63,277.39,222.36,2456914.5,2.324,2458855.74,1191
56078,3.737,0.4732,26.24,339.87,18.74,297.48,2456078.5,1.969,2456536.66,392
55530,3.47,0.6949,13.62,219.76,181.21,4.99,2455530.5,1.059,2455497.77,6097
59268,3.21,0.6660,5.70,207.35,227.11,304.74,2459268.5,1.072,2459590.97,1166
55871,3.472,0.4093,9.17,192.42,46.68,342.91,2455871.5,2.051,2455983.70,760
57473,3.754,0.5894,20.19,50.34,355.98,83.28,2457473.5,1.541,2456858.93,733
58241,3.648,0.5785,13.98,52.40,357.07,181.09,2458241.5,1.537,2459506.22,2281
50000,26.09,0.9632,113.45,139.38,152.98,7.63,2450000.5,0.960,2448968.50,652
58143,3.605,0.3161,11.70,287.53,167.41,163.48,2458143.5,2.466,2457008.13,2328
